suite,phase,yes_prob
c5_robotaxi,start,0.47
c5_robotaxi,start,0.39
c5_robotaxi,start,0.42
c5_robotaxi,start,0.38
c5_robotaxi,start,0.05
c5_robotaxi,start,0.18
c5_robotaxi,start,0.44
c5_robotaxi,start,0.34
c5_robotaxi,start,0.7
c5_robotaxi,start,0.36
c5_robotaxi,start,0.99
c5_robotaxi,start,0.65
c5_robotaxi,start,0.41
c5_robotaxi,start,0.42
c5_robotaxi,start,0.46
c5_robotaxi,start,0.45
c5_robotaxi,start,0.39
c5_robotaxi,start,0.49
c5_robotaxi,start,0.39
c5_robotaxi,start,0.34
c5_robotaxi,end,0.37
c5_robotaxi,end,0.43
c5_robotaxi,end,0.3
c5_robotaxi,end,0.38
c5_robotaxi,end,0.3
c5_robotaxi,end,0.3
c5_robotaxi,end,0.44
c5_robotaxi,end,0.3
c5_robotaxi,end,0.3
c5_robotaxi,end,0.36
c5_robotaxi,end,0.45
c5_robotaxi,end,0.33
c5_robotaxi,end,0.41
c5_robotaxi,end,0.42
c5_robotaxi,end,0.44
c5_robotaxi,end,0.46
c5_robotaxi,end,0.38
c5_robotaxi,end,0.49
c5_robotaxi,end,0.38
c5_robotaxi,end,0.3
c5_robotaxi,start,0.34
c5_robotaxi,start,0.39
c5_robotaxi,start,0.52
c5_robotaxi,start,0.15
c5_robotaxi,start,0.1
c5_robotaxi,start,0.4
c5_robotaxi,start,0.28
c5_robotaxi,start,0.48
c5_robotaxi,start,0.38
c5_robotaxi,start,0.15
c5_robotaxi,start,0.38
c5_robotaxi,start,0.17
c5_robotaxi,start,0.37
c5_robotaxi,start,0.43
c5_robotaxi,start,0.14
c5_robotaxi,start,0.39
c5_robotaxi,start,0.4
c5_robotaxi,start,0.36
c5_robotaxi,start,0.54
c5_robotaxi,start,0.83
c5_robotaxi,end,0.35
c5_robotaxi,end,0.38
c5_robotaxi,end,0.1
c5_robotaxi,end,0.25
c5_robotaxi,end,0.23
c5_robotaxi,end,0.32
c5_robotaxi,end,0.28
c5_robotaxi,end,0.42
c5_robotaxi,end,0.37
c5_robotaxi,end,0.15
c5_robotaxi,end,0.32
c5_robotaxi,end,0.12
c5_robotaxi,end,0.35
c5_robotaxi,end,0.37
c5_robotaxi,end,0.14
c5_robotaxi,end,0.38
c5_robotaxi,end,0.38
c5_robotaxi,end,0.35
c5_robotaxi,end,0.45
c5_robotaxi,end,0.62
c5_robotaxi,start,0.47
c5_robotaxi,start,0.43
c5_robotaxi,start,0.43
c5_robotaxi,start,0.37
c5_robotaxi,start,0.4
c5_robotaxi,start,0.34
c5_robotaxi,start,0.32
c5_robotaxi,start,0.29
c5_robotaxi,start,0.43
c5_robotaxi,start,0.38
c5_robotaxi,start,0.41
c5_robotaxi,start,0.46
c5_robotaxi,start,0.51
c5_robotaxi,start,0.47
c5_robotaxi,start,0.53
c5_robotaxi,start,0.45
c5_robotaxi,start,0.41
c5_robotaxi,start,0.56
c5_robotaxi,start,0.43
c5_robotaxi,start,0.28
c5_robotaxi,end,0.47
c5_robotaxi,end,0.4
c5_robotaxi,end,0.42
c5_robotaxi,end,0.32
c5_robotaxi,end,0.4
c5_robotaxi,end,0.34
c5_robotaxi,end,0.28
c5_robotaxi,end,0.25
c5_robotaxi,end,0.38
c5_robotaxi,end,0.38
c5_robotaxi,end,0.38
c5_robotaxi,end,0.43
c5_robotaxi,end,0.46
c5_robotaxi,end,0.38
c5_robotaxi,end,0.46
c5_robotaxi,end,0.45
c5_robotaxi,end,0.42
c5_robotaxi,end,0.5
c5_robotaxi,end,0.42
c5_robotaxi,end,0.28
c5_ethereum,start,0.78
c5_ethereum,start,0.41
c5_ethereum,start,0.51
c5_ethereum,start,0.54
c5_ethereum,start,0.64
c5_ethereum,start,0.3
c5_ethereum,start,0.5
c5_ethereum,start,0.73
c5_ethereum,start,0.44
c5_ethereum,start,0.49
c5_ethereum,start,0.05
c5_ethereum,start,0.58
c5_ethereum,start,0.98
c5_ethereum,start,0.82
c5_ethereum,start,0.49
c5_ethereum,start,0.57
c5_ethereum,start,0.88
c5_ethereum,start,0.64
c5_ethereum,start,0.53
c5_ethereum,start,0.62
c5_ethereum,end,0.06
c5_ethereum,end,0.33
c5_ethereum,end,0.2
c5_ethereum,end,0.105
c5_ethereum,end,0.35
c5_ethereum,end,0.45
c5_ethereum,end,0.35
c5_ethereum,end,0.21
c5_ethereum,end,0.27
c5_ethereum,end,0.45
c5_ethereum,end,0.01
c5_ethereum,end,0.35
c5_ethereum,end,0.03
c5_ethereum,end,0.25
c5_ethereum,end,0.07
c5_ethereum,end,0.4
c5_ethereum,end,0.15
c5_ethereum,end,0.28
c5_ethereum,end,0.3
c5_ethereum,end,0.22
c5_ethereum,start,0.24
c5_ethereum,start,0.49
c5_ethereum,start,0.62
c5_ethereum,start,0.86
c5_ethereum,start,0.84
c5_ethereum,start,0.7
c5_ethereum,start,0.25
c5_ethereum,start,0.65
c5_ethereum,start,0.47
c5_ethereum,start,0.5
c5_ethereum,start,0.9
c5_ethereum,start,0.99
c5_ethereum,start,0.73
c5_ethereum,start,0.57
c5_ethereum,start,0.66
c5_ethereum,start,0.53
c5_ethereum,start,0.56
c5_ethereum,start,0.54
c5_ethereum,start,0.52
c5_ethereum,start,0.61
c5_ethereum,end,0.12
c5_ethereum,end,0.08
c5_ethereum,end,0.3
c5_ethereum,end,0.35
c5_ethereum,end,0.44
c5_ethereum,end,0.08
c5_ethereum,end,0.03
c5_ethereum,end,0.05
c5_ethereum,end,0.15
c5_ethereum,end,0.15
c5_ethereum,end,0.08
c5_ethereum,end,0.05
c5_ethereum,end,0.29
c5_ethereum,end,0.12
c5_ethereum,end,0.163
c5_ethereum,end,0.5
c5_ethereum,end,0.12
c5_ethereum,end,0.05
c5_ethereum,end,0.3
c5_ethereum,end,0.18
c5_ethereum,start,0.2
c5_ethereum,start,0.72
c5_ethereum,start,0.65
c5_ethereum,start,0.71
c5_ethereum,start,0.63
c5_ethereum,start,0.61
c5_ethereum,start,0.56
c5_ethereum,start,0.37
c5_ethereum,start,0.53
c5_ethereum,start,0.53
c5_ethereum,start,0.57
c5_ethereum,start,0.6
c5_ethereum,start,0.48
c5_ethereum,start,0.35
c5_ethereum,start,0.05
c5_ethereum,start,0.48
c5_ethereum,start,0.55
c5_ethereum,start,0.78
c5_ethereum,start,0.48
c5_ethereum,start,0.47
c5_ethereum,end,0.15
c5_ethereum,end,0.3
c5_ethereum,end,0.56
c5_ethereum,end,0.06
c5_ethereum,end,0.06
c5_ethereum,end,0.14
c5_ethereum,end,0.07
c5_ethereum,end,0.37
c5_ethereum,end,0.35
c5_ethereum,end,0.15
c5_ethereum,end,0.12
c5_ethereum,end,0.13
c5_ethereum,end,0.2
c5_ethereum,end,0.1
c5_ethereum,end,0.02
c5_ethereum,end,0.35
c5_ethereum,end,0.12
c5_ethereum,end,0.08
c5_ethereum,end,0.3
c5_ethereum,end,0.07
