market,agent_id,tick,yes_prob
Tesla Robotaxi,0,0,0.47
Tesla Robotaxi,0,2,0.47
Tesla Robotaxi,0,4,0.47
Tesla Robotaxi,0,6,0.47
Tesla Robotaxi,0,7,0.47
Tesla Robotaxi,0,9,0.47
Tesla Robotaxi,0,10,0.45
Tesla Robotaxi,0,11,0.45
Tesla Robotaxi,0,12,0.45
Tesla Robotaxi,0,13,0.45
Tesla Robotaxi,0,14,0.45
Tesla Robotaxi,0,15,0.45
Tesla Robotaxi,0,17,0.45
Tesla Robotaxi,0,18,0.45
Tesla Robotaxi,0,19,0.37
Tesla Robotaxi,1,0,0.39
Tesla Robotaxi,1,2,0.42
Tesla Robotaxi,1,3,0.43
Tesla Robotaxi,1,4,0.43
Tesla Robotaxi,1,6,0.43
Tesla Robotaxi,1,8,0.43
Tesla Robotaxi,1,11,0.43
Tesla Robotaxi,1,14,0.43
Tesla Robotaxi,1,15,0.43
Tesla Robotaxi,1,16,0.43
Tesla Robotaxi,1,17,0.43
Tesla Robotaxi,1,18,0.43
Tesla Robotaxi,1,19,0.43
Tesla Robotaxi,2,0,0.42
Tesla Robotaxi,2,3,0.45
Tesla Robotaxi,2,5,0.4
Tesla Robotaxi,2,6,0.4
Tesla Robotaxi,2,9,0.4
Tesla Robotaxi,2,11,0.4
Tesla Robotaxi,2,12,0.4
Tesla Robotaxi,2,13,0.4
Tesla Robotaxi,2,15,0.38
Tesla Robotaxi,2,16,0.37
Tesla Robotaxi,2,17,0.35
Tesla Robotaxi,2,18,0.34
Tesla Robotaxi,2,19,0.3
Tesla Robotaxi,3,0,0.38
Tesla Robotaxi,3,1,0.38
Tesla Robotaxi,3,2,0.38
Tesla Robotaxi,3,4,0.38
Tesla Robotaxi,3,6,0.38
Tesla Robotaxi,3,7,0.38
Tesla Robotaxi,3,8,0.38
Tesla Robotaxi,3,9,0.38
Tesla Robotaxi,3,10,0.38
Tesla Robotaxi,3,11,0.38
Tesla Robotaxi,3,12,0.38
Tesla Robotaxi,3,15,0.38
Tesla Robotaxi,3,16,0.38
Tesla Robotaxi,3,19,0.38
Tesla Robotaxi,4,0,0.05
Tesla Robotaxi,4,1,0.15
Tesla Robotaxi,4,3,0.15
Tesla Robotaxi,4,4,0.15
Tesla Robotaxi,4,5,0.15
Tesla Robotaxi,4,8,0.15
Tesla Robotaxi,4,11,0.15
Tesla Robotaxi,4,15,0.2
Tesla Robotaxi,4,19,0.3
Tesla Robotaxi,5,0,0.18
Tesla Robotaxi,5,3,0.18
Tesla Robotaxi,5,6,0.18
Tesla Robotaxi,5,9,0.18
Tesla Robotaxi,5,11,0.18
Tesla Robotaxi,5,13,0.25
Tesla Robotaxi,5,18,0.3
Tesla Robotaxi,6,0,0.44
Tesla Robotaxi,6,2,0.44
Tesla Robotaxi,6,3,0.44
Tesla Robotaxi,6,5,0.44
Tesla Robotaxi,6,6,0.44
Tesla Robotaxi,6,8,0.44
Tesla Robotaxi,6,9,0.44
Tesla Robotaxi,6,11,0.44
Tesla Robotaxi,6,12,0.44
Tesla Robotaxi,6,14,0.44
Tesla Robotaxi,6,15,0.44
Tesla Robotaxi,6,18,0.44
Tesla Robotaxi,6,19,0.44
Tesla Robotaxi,7,0,0.34
Tesla Robotaxi,7,3,0.36
Tesla Robotaxi,7,4,0.34
Tesla Robotaxi,7,8,0.33
Tesla Robotaxi,7,9,0.33
Tesla Robotaxi,7,11,0.33
Tesla Robotaxi,7,12,0.33
Tesla Robotaxi,7,13,0.33
Tesla Robotaxi,7,15,0.33
Tesla Robotaxi,7,16,0.33
Tesla Robotaxi,7,17,0.32
Tesla Robotaxi,7,18,0.3
Tesla Robotaxi,8,0,0.7
Tesla Robotaxi,8,3,0.7
Tesla Robotaxi,8,4,0.7
Tesla Robotaxi,8,5,0.7
Tesla Robotaxi,8,8,0.7
Tesla Robotaxi,8,9,0.7
Tesla Robotaxi,8,11,0.7
Tesla Robotaxi,8,12,0.7
Tesla Robotaxi,8,13,0.7
Tesla Robotaxi,8,15,0.7
Tesla Robotaxi,8,17,0.65
Tesla Robotaxi,8,18,0.63
Tesla Robotaxi,8,19,0.3
Tesla Robotaxi,9,0,0.36
Tesla Robotaxi,9,3,0.36
Tesla Robotaxi,9,4,0.36
Tesla Robotaxi,9,5,0.36
Tesla Robotaxi,9,6,0.37
Tesla Robotaxi,9,8,0.38
Tesla Robotaxi,9,11,0.38
Tesla Robotaxi,9,12,0.38
Tesla Robotaxi,9,14,0.36
Tesla Robotaxi,9,18,0.36
Tesla Robotaxi,10,0,0.99
Tesla Robotaxi,10,1,0.42
Tesla Robotaxi,10,2,0.44
Tesla Robotaxi,10,4,0.55
Tesla Robotaxi,10,5,0.5
Tesla Robotaxi,10,7,0.5
Tesla Robotaxi,10,8,0.45
Tesla Robotaxi,10,9,0.45
Tesla Robotaxi,10,11,0.45
Tesla Robotaxi,10,12,0.45
Tesla Robotaxi,10,15,0.45
Tesla Robotaxi,10,16,0.45
Tesla Robotaxi,10,17,0.45
Tesla Robotaxi,10,18,0.45
Tesla Robotaxi,10,19,0.45
Tesla Robotaxi,11,0,0.65
Tesla Robotaxi,11,4,0.62
Tesla Robotaxi,11,5,0.55
Tesla Robotaxi,11,6,0.55
Tesla Robotaxi,11,8,0.55
Tesla Robotaxi,11,13,0.55
Tesla Robotaxi,11,14,0.55
Tesla Robotaxi,11,15,0.55
Tesla Robotaxi,11,16,0.55
Tesla Robotaxi,11,17,0.35
Tesla Robotaxi,11,19,0.33
Tesla Robotaxi,12,0,0.41
Tesla Robotaxi,12,1,0.41
Tesla Robotaxi,12,4,0.41
Tesla Robotaxi,12,5,0.41
Tesla Robotaxi,12,7,0.41
Tesla Robotaxi,12,8,0.41
Tesla Robotaxi,12,10,0.41
Tesla Robotaxi,12,12,0.41
Tesla Robotaxi,12,13,0.41
Tesla Robotaxi,12,14,0.41
Tesla Robotaxi,12,15,0.41
Tesla Robotaxi,12,16,0.41
Tesla Robotaxi,12,17,0.41
Tesla Robotaxi,12,18,0.41
Tesla Robotaxi,12,19,0.41
Tesla Robotaxi,13,0,0.42
Tesla Robotaxi,13,2,0.42
Tesla Robotaxi,13,5,0.42
Tesla Robotaxi,13,8,0.42
Tesla Robotaxi,13,10,0.42
Tesla Robotaxi,13,11,0.42
Tesla Robotaxi,13,14,0.42
Tesla Robotaxi,13,15,0.42
Tesla Robotaxi,13,16,0.42
Tesla Robotaxi,13,18,0.42
Tesla Robotaxi,13,19,0.42
Tesla Robotaxi,14,0,0.46
Tesla Robotaxi,14,3,0.46
Tesla Robotaxi,14,4,0.44
Tesla Robotaxi,14,5,0.43
Tesla Robotaxi,14,6,0.43
Tesla Robotaxi,14,8,0.425
Tesla Robotaxi,14,9,0.46
Tesla Robotaxi,14,11,0.46
Tesla Robotaxi,14,12,0.46
Tesla Robotaxi,14,14,0.46
Tesla Robotaxi,14,15,0.46
Tesla Robotaxi,14,16,0.44
Tesla Robotaxi,14,18,0.44
Tesla Robotaxi,14,19,0.44
Tesla Robotaxi,15,0,0.45
Tesla Robotaxi,15,3,0.46
Tesla Robotaxi,15,4,0.46
Tesla Robotaxi,15,6,0.46
Tesla Robotaxi,15,7,0.46
Tesla Robotaxi,15,8,0.46
Tesla Robotaxi,15,10,0.46
Tesla Robotaxi,15,11,0.46
Tesla Robotaxi,15,12,0.46
Tesla Robotaxi,15,14,0.46
Tesla Robotaxi,15,18,0.46
Tesla Robotaxi,15,19,0.46
Tesla Robotaxi,16,0,0.39
Tesla Robotaxi,16,5,0.4
Tesla Robotaxi,16,7,0.4
Tesla Robotaxi,16,8,0.38
Tesla Robotaxi,16,11,0.38
Tesla Robotaxi,16,12,0.38
Tesla Robotaxi,16,14,0.38
Tesla Robotaxi,16,16,0.38
Tesla Robotaxi,16,17,0.38
Tesla Robotaxi,17,0,0.49
Tesla Robotaxi,17,2,0.49
Tesla Robotaxi,17,4,0.49
Tesla Robotaxi,17,6,0.49
Tesla Robotaxi,17,7,0.49
Tesla Robotaxi,17,15,0.49
Tesla Robotaxi,17,18,0.49
Tesla Robotaxi,17,19,0.49
Tesla Robotaxi,18,0,0.39
Tesla Robotaxi,18,2,0.39
Tesla Robotaxi,18,5,0.39
Tesla Robotaxi,18,8,0.39
Tesla Robotaxi,18,9,0.38
Tesla Robotaxi,18,10,0.38
Tesla Robotaxi,18,13,0.38
Tesla Robotaxi,18,14,0.38
Tesla Robotaxi,18,16,0.38
Tesla Robotaxi,18,17,0.38
Tesla Robotaxi,19,0,0.34
Tesla Robotaxi,19,4,0.33
Tesla Robotaxi,19,6,0.33
Tesla Robotaxi,19,7,0.33
Tesla Robotaxi,19,11,0.32
Tesla Robotaxi,19,12,0.31
Tesla Robotaxi,19,17,0.3
Ethereum $5K,0,0,0.78
Ethereum $5K,0,9,0.78
Ethereum $5K,0,12,0.74
Ethereum $5K,0,13,0.73
Ethereum $5K,0,14,0.73
Ethereum $5K,0,15,0.72
Ethereum $5K,0,16,0.12
Ethereum $5K,0,17,0.08
Ethereum $5K,0,18,0.07
Ethereum $5K,0,19,0.06
Ethereum $5K,1,0,0.41
Ethereum $5K,1,1,0.41
Ethereum $5K,1,2,0.41
Ethereum $5K,1,3,0.41
Ethereum $5K,1,4,0.41
Ethereum $5K,1,7,0.41
Ethereum $5K,1,12,0.41
Ethereum $5K,1,14,0.4
Ethereum $5K,1,15,0.4
Ethereum $5K,1,16,0.4
Ethereum $5K,1,17,0.38
Ethereum $5K,1,18,0.35
Ethereum $5K,1,19,0.33
Ethereum $5K,2,0,0.51
Ethereum $5K,2,1,0.53
Ethereum $5K,2,2,0.54
Ethereum $5K,2,3,0.54
