market,first_trade_tick
robotaxi,3
robotaxi,1
robotaxi,1
robotaxi,2
robotaxi,2
robotaxi,1
robotaxi,1
robotaxi,2
robotaxi,1
robotaxi,2
robotaxi,5
robotaxi,1
robotaxi,3
robotaxi,1
robotaxi,7
robotaxi,1
robotaxi,1
robotaxi,1
robotaxi,1
robotaxi,1
robotaxi,3
robotaxi,2
robotaxi,1
robotaxi,2
robotaxi,2
robotaxi,3
robotaxi,1
robotaxi,1
robotaxi,3
robotaxi,1
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,1
robotaxi,2
robotaxi,2
robotaxi,3
robotaxi,2
robotaxi,0
robotaxi,1
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,3
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,2
robotaxi,1
robotaxi,2
robotaxi,2
robotaxi,0
robotaxi,3
robotaxi,4
ethereum,1
ethereum,2
ethereum,1
ethereum,2
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,2
ethereum,1
ethereum,2
ethereum,1
ethereum,1
ethereum,1
ethereum,2
ethereum,0
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,0
ethereum,1
ethereum,2
ethereum,1
ethereum,4
ethereum,1
ethereum,1
ethereum,4
ethereum,1
ethereum,1
ethereum,3
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,6
ethereum,3
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,1
ethereum,3
ethereum,1
ethereum,1
ethereum,2
ethereum,1
