seed,tick,yes_mid
0,0,0.575
0,1,0.585
0,2,0.585
0,3,0.575
0,4,0.575
0,5,0.575
0,6,0.575
0,7,0.5650000000000001
0,8,0.555
0,9,0.53
0,10,0.54
0,11,0.525
0,12,0.525
0,13,0.51
0,14,0.51
0,15,0.5
0,16,0.495
0,17,0.495
0,18,0.51
0,19,0.495
1,0,0.575
1,1,0.6
1,2,0.6
1,3,0.59
1,4,0.59
1,5,0.59
1,6,0.6
1,7,0.6
1,8,0.61
1,9,0.61
1,10,0.605
1,11,0.605
1,12,0.605
1,13,0.605
1,14,0.605
1,15,0.605
1,16,0.605
1,17,0.61
1,18,0.61
1,19,0.62
2,0,0.575
2,1,0.585
2,2,0.585
2,3,0.585
2,4,0.595
2,5,0.595
2,6,0.595
2,7,0.585
2,8,0.585
2,9,0.575
2,10,0.575
2,11,0.575
2,12,0.525
2,13,0.56
2,14,0.5650000000000001
2,15,0.555
2,16,0.555
2,17,0.555
2,18,0.555
2,19,0.555
