market,n,tick,yes_mid
robotaxi,100,0,0.505
robotaxi,100,1,0.515
robotaxi,100,2,0.505
robotaxi,100,3,0.45499999999999996
robotaxi,100,4,0.475
robotaxi,100,5,0.45
robotaxi,100,6,0.435
robotaxi,100,7,0.435
robotaxi,100,8,0.435
robotaxi,100,9,0.435
robotaxi,100,10,0.42
robotaxi,100,11,0.41000000000000003
robotaxi,100,12,0.41500000000000004
robotaxi,100,13,0.41500000000000004
robotaxi,100,14,0.41500000000000004
robotaxi,100,15,0.425
robotaxi,100,16,0.425
robotaxi,100,17,0.425
robotaxi,100,18,0.425
robotaxi,100,19,0.45999999999999996
robotaxi,100,0,0.505
robotaxi,100,1,0.51
robotaxi,100,2,0.51
robotaxi,100,3,0.49
robotaxi,100,4,0.485
robotaxi,100,5,0.48
robotaxi,100,6,0.485
robotaxi,100,7,0.47000000000000003
robotaxi,100,8,0.47
robotaxi,100,9,0.475
robotaxi,100,10,0.475
robotaxi,100,11,0.46
robotaxi,100,12,0.46
robotaxi,100,13,0.46
robotaxi,100,14,0.46
robotaxi,100,15,0.4
robotaxi,100,16,0.43000000000000005
robotaxi,100,17,0.45
robotaxi,100,18,0.445
robotaxi,100,19,0.445
robotaxi,100,0,0.45999999999999996
robotaxi,100,1,0.505
robotaxi,100,2,0.495
robotaxi,100,3,0.5
robotaxi,100,4,0.45999999999999996
robotaxi,100,5,0.49
robotaxi,100,6,0.495
robotaxi,100,7,0.495
robotaxi,100,8,0.475
robotaxi,100,9,0.485
robotaxi,100,10,0.47
robotaxi,100,11,0.46
robotaxi,100,12,0.47
robotaxi,100,13,0.46
robotaxi,100,14,0.44
robotaxi,100,15,0.43
robotaxi,100,16,0.5
robotaxi,100,17,0.435
robotaxi,100,18,0.44
robotaxi,100,19,0.445
robotaxi,10,0,0.45999999999999996
robotaxi,10,1,0.475
robotaxi,10,2,0.49
robotaxi,10,3,0.5
robotaxi,10,4,0.5
robotaxi,10,5,0.46499999999999997
robotaxi,10,6,0.46499999999999997
robotaxi,10,7,0.46499999999999997
robotaxi,10,8,0.45
robotaxi,10,9,0.475
robotaxi,10,10,0.45
robotaxi,10,11,0.445
robotaxi,10,12,0.445
robotaxi,10,13,0.445
robotaxi,10,14,0.445
robotaxi,10,15,0.475
robotaxi,10,16,0.44
robotaxi,10,17,0.43
robotaxi,10,18,0.44
robotaxi,10,19,0.44
