market,n,tick,cancel_pct
robotaxi,10,0,0.0
robotaxi,10,1,0.0
robotaxi,10,2,17.171717171717173
robotaxi,10,3,0.0
robotaxi,10,4,26.060606060606062
robotaxi,10,5,3.3333333333333335
robotaxi,10,6,6.111111111111111
robotaxi,10,7,2.7777777777777772
robotaxi,10,8,0.0
robotaxi,10,9,8.585858585858587
robotaxi,10,10,5.128205128205129
robotaxi,10,11,10.0
robotaxi,10,12,3.0303030303030307
robotaxi,10,13,13.333333333333334
robotaxi,10,14,0.0
robotaxi,10,15,10.0
robotaxi,10,16,9.14141414141414
robotaxi,10,17,9.393939393939394
robotaxi,10,18,6.666666666666667
robotaxi,10,19,15.151515151515154
robotaxi,20,0,0.0
robotaxi,20,1,0.0
robotaxi,20,2,28.416149068322984
robotaxi,20,3,12.484472049689442
robotaxi,20,4,9.163059163059165
robotaxi,20,5,3.1024531024531026
robotaxi,20,6,4.623878536922015
robotaxi,20,7,4.151404151404152
robotaxi,20,8,7.6479076479076475
robotaxi,20,9,9.163059163059163
robotaxi,20,10,11.111111111111109
robotaxi,20,11,3.1746031746031744
robotaxi,20,12,1.6666666666666667
robotaxi,20,13,8.055555555555555
robotaxi,20,14,1.5151515151515154
robotaxi,20,15,5.7691197691197695
robotaxi,20,16,6.349206349206349
robotaxi,20,17,0.0
robotaxi,20,18,8.959156785243742
robotaxi,20,19,5.9351276742581085
robotaxi,50,0,0.0
robotaxi,50,1,0.0
robotaxi,50,2,18.564370696857086
robotaxi,50,3,7.6347708894878705
robotaxi,50,4,5.424393185587216
robotaxi,50,5,8.049989880590973
robotaxi,50,6,7.19836303504723
robotaxi,50,7,6.702809768847505
robotaxi,50,8,3.9867424242424243
robotaxi,50,9,7.886667632430345
robotaxi,50,10,5.343047965998785
robotaxi,50,11,9.256466119211217
robotaxi,50,12,8.100943474993738
robotaxi,50,13,4.45845004668534
robotaxi,50,14,4.428549896548417
robotaxi,50,15,6.495189483959025
robotaxi,50,16,2.4146451033243483
robotaxi,50,17,3.82380872576951
robotaxi,50,18,5.773029439696106
robotaxi,50,19,2.5291375291375293
robotaxi,100,0,0.0
robotaxi,100,1,0.9090909090909091
robotaxi,100,2,15.509031298504985
robotaxi,100,3,7.29171164169653
robotaxi,100,4,10.448564873343635
robotaxi,100,5,7.86201940352138
robotaxi,100,6,4.914278827322305
robotaxi,100,7,4.500554788774323
robotaxi,100,8,4.141727837380011
robotaxi,100,9,6.027233635929288
robotaxi,100,10,2.7947205699499276
robotaxi,100,11,6.489875530782729
robotaxi,100,12,6.074981577008106
robotaxi,100,13,5.100035100035099
robotaxi,100,14,5.960148122024335
robotaxi,100,15,4.495009821096777
robotaxi,100,16,5.5647783376596935
robotaxi,100,17,4.91101491101491
robotaxi,100,18,6.377870119006587
robotaxi,100,19,5.372445274406059
ethereum,10,0,0.0
ethereum,10,1,0.0
ethereum,10,2,24.650349650349654
ethereum,10,3,11.188811188811188
ethereum,10,4,18.484848484848484
ethereum,10,5,3.0303030303030307
ethereum,10,6,0.0
ethereum,10,7,9.393939393939394
ethereum,10,8,3.0303030303030307
ethereum,10,9,0.0
ethereum,10,10,9.393939393939394
ethereum,10,11,5.808080808080807
ethereum,10,12,0.0
ethereum,10,13,5.897435897435898
ethereum,10,14,3.3333333333333335
ethereum,10,15,12.777777777777777
ethereum,10,16,9.444444444444445
ethereum,10,17,6.060606060606061
ethereum,10,18,3.0303030303030307
ethereum,10,19,9.09090909090909
ethereum,20,0,0.0
ethereum,20,1,6.132756132756133
ethereum,20,2,21.72705314009662
ethereum,20,3,12.46376811594203
ethereum,20,4,9.031306857393814
ethereum,20,5,5.808080808080807
ethereum,20,6,3.0303030303030307
ethereum,20,7,2.898550724637681
ethereum,20,8,4.68975468975469
ethereum,20,9,5.797101449275362
ethereum,20,10,5.878787878787878
ethereum,20,11,3.1159420289855073
ethereum,20,12,6.212121212121212
ethereum,20,13,3.0365769496204273
ethereum,20,14,9.607783520826999
ethereum,20,15,3.0303030303030307
ethereum,20,16,7.450279189409624
ethereum,20,17,3.0303030303030307
ethereum,20,18,8.731884057971014
ethereum,20,19,10.119047619047619
ethereum,50,0,0.0
ethereum,50,1,0.6060606060606061
ethereum,50,2,32.40740740740741
ethereum,50,3,12.756947353721548
ethereum,50,4,8.784644942837033
ethereum,50,5,2.3982999392835453
ethereum,50,6,4.202680005394338
ethereum,50,7,1.3071895424836601
ethereum,50,8,2.5520077406869857
ethereum,50,9,3.6212325686009894
ethereum,50,10,4.798893916540975
ethereum,50,11,5.439699878627386
ethereum,50,12,5.4774156660949105
ethereum,50,13,5.369906247099229
ethereum,50,14,0.6060606060606061
ethereum,50,15,3.5098522167487687
ethereum,50,16,7.21756313861577
ethereum,50,17,5.124392903161859
ethereum,50,18,8.51522462873602
ethereum,50,19,10.98242310106717
ethereum,100,0,0.0
ethereum,100,1,2.806894945259725
ethereum,100,2,30.22461814914645
ethereum,100,3,8.690474532362076
ethereum,100,4,2.564935064935065
ethereum,100,5,4.430160187735946
ethereum,100,6,4.5159674746830705
ethereum,100,7,3.1536388140161726
ethereum,100,8,2.2012138188608774
ethereum,100,9,2.0599153932487266
ethereum,100,10,4.228924504153862
ethereum,100,11,4.711839986439529
ethereum,100,12,6.237490401440098
ethereum,100,13,6.485432008858563
ethereum,100,14,1.5957477792340178
ethereum,100,15,3.54815263906173
ethereum,100,16,5.887949721799051
ethereum,100,17,4.783354783354784
ethereum,100,18,7.102781922737942
ethereum,100,19,7.305813571110062
