base,metric,n,seed_value
robotaxi,end_mid,10,0.44
robotaxi,end_mid,10,0.395
robotaxi,end_mid,10,0.47
robotaxi,end_mid,20,0.45
robotaxi,end_mid,20,0.395
robotaxi,end_mid,20,0.455
robotaxi,end_mid,50,0.425
robotaxi,end_mid,50,0.395
robotaxi,end_mid,50,0.395
robotaxi,end_mid,100,0.45999999999999996
robotaxi,end_mid,100,0.445
robotaxi,end_mid,100,0.445
ethereum,end_mid,10,0.535
ethereum,end_mid,10,0.54
ethereum,end_mid,10,0.5700000000000001
ethereum,end_mid,20,0.59
ethereum,end_mid,20,0.5700000000000001
ethereum,end_mid,20,0.52
ethereum,end_mid,50,0.55
ethereum,end_mid,50,0.47000000000000003
ethereum,end_mid,50,0.595
ethereum,end_mid,100,0.49
ethereum,end_mid,100,0.56
ethereum,end_mid,100,0.52
robotaxi,notional,10,410.9374197817079
robotaxi,notional,10,326.2794356813067
robotaxi,notional,10,242.4047619047619
robotaxi,notional,20,957.3610945413046
robotaxi,notional,20,609.9348191665936
robotaxi,notional,20,1545.41555579077
robotaxi,notional,50,3509.195180182373
robotaxi,notional,50,4460.344448742704
robotaxi,notional,50,13157.197913154176
robotaxi,notional,100,7541.615220686335
robotaxi,notional,100,11942.801338513898
robotaxi,notional,100,13848.17177218717
ethereum,notional,10,322.88162068965516
ethereum,notional,10,831.1315759897828
ethereum,notional,10,356.0976639443436
ethereum,notional,20,2987.997600697024
ethereum,notional,20,2957.5066249400643
ethereum,notional,20,1085.9607398800601
ethereum,notional,50,7826.160462894776
ethereum,notional,50,8571.529760380767
ethereum,notional,50,19164.760260497624
ethereum,notional,100,20303.177351454007
ethereum,notional,100,54131.45898531123
ethereum,notional,100,35939.70081441786
robotaxi,pnl_spread,10,431.833549850164
robotaxi,pnl_spread,10,265.37685381434574
robotaxi,pnl_spread,10,304.41379310344814
robotaxi,pnl_spread,20,592.9520981693433
robotaxi,pnl_spread,20,311.5795528606062
robotaxi,pnl_spread,20,1074.079874529584
robotaxi,pnl_spread,50,2000.2450606329467
robotaxi,pnl_spread,50,2277.8206380680494
robotaxi,pnl_spread,50,10341.353222950846
robotaxi,pnl_spread,100,1847.653705550017
robotaxi,pnl_spread,100,5692.394001555747
robotaxi,pnl_spread,100,7473.342830305184
ethereum,pnl_spread,10,136.81034482758622
ethereum,pnl_spread,10,547.1875438164352
ethereum,pnl_spread,10,221.84965321398178
ethereum,pnl_spread,20,3267.051902681961
ethereum,pnl_spread,20,2343.9167949064904
ethereum,pnl_spread,20,420.11790741632575
ethereum,pnl_spread,50,4186.003205128209
ethereum,pnl_spread,50,4966.557822057449
ethereum,pnl_spread,50,20187.475972381537
ethereum,pnl_spread,100,5918.988178623869
ethereum,pnl_spread,100,40287.83551611734
ethereum,pnl_spread,100,22412.803581086395
