action_counts,belief_confidence_mean,belief_yes_prob_mean,fill_notional,n_actions,n_belief_updates,n_fills,n_trade_actions,response_chars,tick,yes_mid_delta,yes_mid_end,yes_mid_start,run_dir,slug,price
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.525,0.43,0.0,4,2,0,2,7938,0,0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.5,0.47000000000000003,0.0,3,1,0,1,8313,1,0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.46
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.525,0.43,0.0,4,2,0,2,9512,2,-0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'HOLD': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.525,0.43,0.0,4,2,0,2,7593,3,0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.525,0.43,0.0,4,2,0,2,7556,4,0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.525,0.43,0.0,4,2,0,2,7339,5,0.0,0.48,0.48,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.48
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.55,0.43,0.0,4,2,0,2,8471,6,0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.525,0.445,0.0,4,2,0,2,9269,7,0.0,0.485,0.485,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.485
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.5,0.425,0.0,4,2,0,2,11535,8,0.0,0.46,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.5,0.425,0.0,4,2,0,2,9930,9,0.01,0.47000000000000003,0.46,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.47
