slug,panel,series,progress,yes_price,truth
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0,0.4699998777999096,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.005274928519528559,0.3944,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.005558019495531881,0.4179,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.005709001349400319,0.426125,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0060675832523378595,0.42,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.008242665584630047,0.32,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.008893774829437687,0.32,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.011436875430534192,0.32,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.012606984798014588,0.31961630695443644,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.012833457578817245,0.3227798252788613,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.012970284883885517,0.3299999989754065,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0142300397271003,0.33,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.014362148849235182,0.3299999295999915,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.01819803157408019,0.32516,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.018533022562350787,0.32,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.019953195625300783,0.36999986309991373,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.020047559283968557,0.32,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.021151614090381514,0.3499998774999204,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.022769950836533832,0.33,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.022953959970935994,0.33,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.02364281467921074,0.34,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.023699432874411407,0.33,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.02447321487548715,0.34306977771800734,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.024510960338954262,0.3499998774999204,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.026190633463240638,0.3499999894999998,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.02751644286752286,0.35,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.028662961320336314,0.35,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03166844384890491,0.35,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03193738027610807,0.35,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03338114425372501,0.35,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03340001698545856,0.35999987039991704,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.034249289913468525,0.36,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03445688996253763,0.36,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.034551253621205404,0.35,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03491927189000972,0.3798885518348593,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03520708104894643,0.37,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.03530616289054759,0.37,1.0
