suite,run,n_agents,n_ticks,belief_updates_per_agent,mean_initial_belief,mean_final_belief,final_market_price,belief_minus_price,trades_consistent_pct,limit_pct,cancel_pct,hold_pct,belief_pct
c5_robotaxi,20260523T063759-c5_robotaxi_off_s1-,20,20,12.7,0.36,0.326,0.44,-0.114,93.5,23.3,9.0,0.2,60.5
c5_robotaxi,20260523T065209-c5_robotaxi_on_s2-d,20,20,11.6,0.418,0.391,0.445,-0.054,95.9,25.1,5.3,7.1,53.5
c5_robotaxi,20260523T064254-c5_robotaxi_on_s0-d,20,20,11.6,0.436,0.377,0.425,-0.048,99.1,25.9,6.8,8.9,54.4
c5_robotaxi,20260523T064207-c5_robotaxi_off_s2-,20,20,13.9,0.418,0.39,0.425,-0.034,89.5,19.7,8.9,1.7,66.7
c5_robotaxi,20260523T064732-c5_robotaxi_on_s1-d,20,20,11.0,0.36,0.316,0.38,-0.064,95.8,24.8,6.7,6.0,50.7
c5_robotaxi,20260523T063759-c5_robotaxi_off_s0-,20,20,13.4,0.44,0.398,0.465,-0.067,92.9,23.5,8.4,0.7,64.0
c5_ethereum,20260523T063759-c5_ethereum_off_s0-,20,20,13.1,0.463,0.374,0.605,-0.231,88.6,24.1,9.8,0.5,61.4
c5_ethereum,20260523T063759-c5_ethereum_off_s1-,20,20,13.2,0.588,0.327,0.535,-0.208,95.5,24.3,10.0,0.0,61.1
c5_ethereum,20260523T064209-c5_ethereum_off_s2-,20,20,15.1,0.478,0.328,0.565,-0.238,93.9,19.5,5.7,0.5,71.9
c5_ethereum,20260523T064226-c5_ethereum_on_s0-d,20,20,12.1,0.575,0.242,0.535,-0.293,95.3,28.2,6.0,6.2,55.5
c5_ethereum,20260523T064539-c5_ethereum_on_s1-d,20,20,12.8,0.612,0.18,0.565,-0.385,93.6,23.3,5.8,6.5,59.1
c5_ethereum,20260523T065240-c5_ethereum_on_s2-d,20,20,11.2,0.516,0.185,0.56,-0.375,87.9,28.6,7.1,4.0,53.0
c1_robotaxi,20260522T204646-c1_robotaxi_n50_s2-,50,20,10.1,0.407,0.37,0.395,-0.025,91.6,28.9,5.3,2.7,46.3
c1_robotaxi,20260522T202550-c1_robotaxi_n50_s1-,50,20,11.4,0.387,0.307,0.395,-0.088,97.3,31.6,6.0,3.5,50.7
c1_robotaxi,20260522T191231-c1_robotaxi_n10_s1-,10,20,11.4,0.319,0.313,0.395,-0.082,98.5,26.9,8.5,5.4,51.1
c1_robotaxi,20260522T192945-c1_robotaxi_n20_s0-,20,20,11.6,0.44,0.368,0.45,-0.082,91.2,26.4,7.4,3.5,53.9
c1_robotaxi,20260522T200444-c1_robotaxi_n50_s0-,50,20,11.8,0.404,0.365,0.425,-0.06,95.6,30.6,6.7,5.1,52.4
c1_robotaxi,20260522T180821-c1_robotaxi_n100_s2,100,20,10.6,0.406,0.365,0.445,-0.08,91.4,27.7,6.4,2.1,48.3
c1_robotaxi,20260522T195344-c1_robotaxi_n20_s2-,20,20,11.1,0.418,0.381,0.455,-0.074,93.3,26.8,4.7,10.1,52.1
c1_robotaxi,20260522T171225-c1_robotaxi_n100_s1,100,20,10.2,0.422,0.374,0.445,-0.071,94.6,32.5,5.8,1.9,45.5
c1_robotaxi,20260522T194226-c1_robotaxi_n20_s1-,20,20,11.6,0.36,0.316,0.395,-0.079,96.2,26.5,7.8,5.4,52.0
c1_robotaxi,20260522T190222-c1_robotaxi_n10_s0-,10,20,13.7,0.387,0.337,0.44,-0.103,100.0,16.7,6.8,4.5,62.0
