market,truth,start_mid,end_mid_mean,end_mid_sd,n_seeds_toward_truth,n_seeds
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.64,0.643,0.008,2,3
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.5,0.237,0.023,0,3
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.265,0.308,0.02,0,3
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.325,0.313,0.025,2,3
will-bitcoin-reach-125k-in-july-846-114,0.0,0.24,0.233,0.048,2,3
btc-above-100k-till-2025-end,1.0,0.553,0.568,0.025,2,3
will-microstrategy-purchase-bitcoin-august-26-september-1,0.0,0.835,0.832,0.023,1,3
nfl-kc-nyg-2025-09-21,1.0,0.725,0.728,0.012,2,3
nfl-bal-buf-2025-09-07,0.0,0.527,0.52,0.005,1,3
lord-miles-completes-40-day-water-fast-in-the-dessert,0.0,0.24,0.238,0.003,1,3
