series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug,real_cum_trades
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,4.0,0.0,0.6850000198249191,0.0,,2025-08-26 13:44:25+00:00,90.883855,will-microstrategy-purchase-bitcoin-august-26-september-1,4.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,8.0,0.008403361344537815,0.7815082990059001,0.0,,2025-08-26 20:18:29+00:00,25.166278,will-microstrategy-purchase-bitcoin-august-26-september-1,8.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,11.0,0.01680672268907563,0.7799999999999999,0.0,,2025-08-26 22:56:33+00:00,531.95,will-microstrategy-purchase-bitcoin-august-26-september-1,11.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,15.0,0.025210084033613446,0.7582338396326387,0.0,,2025-08-27 05:57:13+00:00,6153.8022,will-microstrategy-purchase-bitcoin-august-26-september-1,15.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,19.0,0.03361344537815126,0.77,0.0,,2025-08-27 09:18:31+00:00,3150.2463,will-microstrategy-purchase-bitcoin-august-26-september-1,19.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,22.0,0.04201680672268908,0.7266667192800272,0.0,,2025-08-27 11:15:37+00:00,76.46517300000001,will-microstrategy-purchase-bitcoin-august-26-september-1,22.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,26.0,0.05042016806722689,0.705,0.0,,2025-08-27 15:10:23+00:00,65.813,will-microstrategy-purchase-bitcoin-august-26-september-1,26.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,30.0,0.058823529411764705,0.6749999999999999,0.0,,2025-08-27 16:15:53+00:00,39.98,will-microstrategy-purchase-bitcoin-august-26-september-1,30.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,33.0,0.06722689075630252,0.6933333309999998,0.0,,2025-08-27 20:11:39+00:00,75.07399799999999,will-microstrategy-purchase-bitcoin-august-26-september-1,33.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,37.0,0.07563025210084033,0.7101517828545514,0.0,,2025-08-28 00:24:41+00:00,542.7986980000001,will-microstrategy-purchase-bitcoin-august-26-september-1,37.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,41.0,0.08403361344537816,0.7194409358977966,0.0,,2025-08-28 04:36:33+00:00,306.03539,will-microstrategy-purchase-bitcoin-august-26-september-1,41.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,44.0,0.09243697478991597,0.7099999654666577,0.0,,2025-08-28 10:24:05+00:00,661.205398,will-microstrategy-purchase-bitcoin-august-26-september-1,44.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,48.0,0.10084033613445378,0.6824999999999999,0.0,,2025-08-28 14:26:23+00:00,166.14629999999997,will-microstrategy-purchase-bitcoin-august-26-september-1,48.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,52.0,0.1092436974789916,0.6876803194617801,0.0,,2025-08-28 15:53:07+00:00,19.926056,will-microstrategy-purchase-bitcoin-august-26-september-1,52.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,55.0,0.11764705882352941,0.6207710580190966,0.0,,2025-08-28 16:53:13+00:00,886.028799,will-microstrategy-purchase-bitcoin-august-26-september-1,55.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,59.0,0.12605042016806722,0.560428510266004,0.0,,2025-08-28 17:50:07+00:00,3107.7300000000005,will-microstrategy-purchase-bitcoin-august-26-september-1,59.0
真实市场价格,rq1_m07_s0,MicroStrategy继续购买比特币,63.0,0.13445378151260504,0.48738420049657805,0.0,,2025-08-28 19:10:45+00:00,268.912863,will-microstrategy-purchase-bitcoin-august-26-september-1,63.0
