series,config,market,tick,frac,yes_mid,truth,market_title,ts,volume,slug
rq1_m09_s0,rq1_m09_s0,other,0.0,0.0,0.54,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,1.0,0.05263157894736842,0.54,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,2.0,0.10526315789473684,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,3.0,0.15789473684210525,0.53,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,4.0,0.21052631578947367,0.53,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,5.0,0.2631578947368421,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,6.0,0.3157894736842105,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,7.0,0.3684210526315789,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,8.0,0.42105263157894735,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,9.0,0.47368421052631576,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,10.0,0.5263157894736842,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,11.0,0.5789473684210527,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,12.0,0.631578947368421,0.53,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,13.0,0.6842105263157895,0.52,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,14.0,0.7368421052631579,0.54,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,15.0,0.7894736842105263,0.52,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,16.0,0.8421052631578947,0.53,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,17.0,0.8947368421052632,0.52,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,18.0,0.9473684210526315,0.525,0.0,,,,
rq1_m09_s0,rq1_m09_s0,other,19.0,1.0,0.515,0.0,,,,
真实市场YES成交价,rq1_m09_s0,,0.0,0.0,0.5138888905137923,0.0,NFL乌鸦对比尔比赛结果,2025-09-04 01:05:44+00:00,9833.7929,nfl-bal-buf-2025-09-07
真实市场YES成交价,rq1_m09_s0,,0.24050632911392406,0.012658227848101266,0.5186111218067544,0.0,NFL乌鸦对比尔比赛结果,2025-09-04 21:57:38+00:00,5732.535182,nfl-bal-buf-2025-09-07
真实市场YES成交价,rq1_m09_s0,,0.4810126582278481,0.02531645569620253,0.5259680966114573,0.0,NFL乌鸦对比尔比赛结果,2025-09-05 22:54:38+00:00,1884.3383660000002,nfl-bal-buf-2025-09-07
真实市场YES成交价,rq1_m09_s0,,0.7215189873417722,0.0379746835443038,0.5248571460070272,0.0,NFL乌鸦对比尔比赛结果,2025-09-06 21:47:18+00:00,4540.1336870000005,nfl-bal-buf-2025-09-07
真实市场YES成交价,rq1_m09_s0,,0.9620253164556962,0.05063291139240506,0.5249999969583824,0.0,NFL乌鸦对比尔比赛结果,2025-09-07 06:59:46+00:00,8812.529251,nfl-bal-buf-2025-09-07
真实市场YES成交价,rq1_m09_s0,,1.2025316455696204,0.06329113924050633,0.525277791517624,0.0,NFL乌鸦对比尔比赛结果,2025-09-07 14:33:36+00:00,3081.868853,nfl-bal-buf-2025-09-07
真实市场YES成交价,rq1_m09_s0,,1.4430379746835444,0.0759493670886076,0.5239947515218865,0.0,NFL乌鸦对比尔比赛结果,2025-09-07 16:31:44+00:00,15734.241377,nfl-bal-buf-2025-09-07
