series,config,market,tick,frac,yes_mid,truth,market_title,ts,volume,slug
rq1_m03_s0,rq1_m03_s0,other,0.0,0.0,0.275,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,1.0,0.05263157894736842,0.27,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,2.0,0.10526315789473684,0.27,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,3.0,0.15789473684210525,0.28500000000000003,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,4.0,0.21052631578947367,0.28500000000000003,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,5.0,0.2631578947368421,0.29,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,6.0,0.3157894736842105,0.29,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,7.0,0.3684210526315789,0.29,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,8.0,0.42105263157894735,0.29,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,9.0,0.47368421052631576,0.29,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,10.0,0.5263157894736842,0.3,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,11.0,0.5789473684210527,0.31,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,12.0,0.631578947368421,0.32,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,13.0,0.6842105263157895,0.32,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,14.0,0.7368421052631579,0.33,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,15.0,0.7894736842105263,0.33,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,16.0,0.8421052631578947,0.35000000000000003,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,17.0,0.8947368421052632,0.375,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,18.0,0.9473684210526315,0.395,0.0,,,,
rq1_m03_s0,rq1_m03_s0,other,19.0,1.0,0.395,0.0,,,,
真实市场YES成交价,rq1_m03_s0,,0.0,0.0,0.2715789757160102,0.0,最高法院裁定支持特朗普关税,2026-02-12 13:36:13+00:00,1260.8844090000002,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,0.24050632911392406,0.012658227848101266,0.27270271654103445,0.0,最高法院裁定支持特朗普关税,2026-02-12 16:33:01+00:00,110.55937800000001,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,0.4810126582278481,0.02531645569620253,0.2721052767292037,0.0,最高法院裁定支持特朗普关税,2026-02-12 18:34:33+00:00,104.361256,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,0.7215189873417722,0.0379746835443038,0.2724324458197609,0.0,最高法院裁定支持特朗普关税,2026-02-12 21:34:01+00:00,563.204439,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,0.9620253164556962,0.05063291139240506,0.2678768236679586,0.0,最高法院裁定支持特朗普关税,2026-02-13 00:16:01+00:00,1320.4877210000002,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,1.2025316455696204,0.06329113924050633,0.26405405004359883,0.0,最高法院裁定支持特朗普关税,2026-02-13 01:11:15+00:00,90.354754,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,1.4430379746835444,0.0759493670886076,0.2634210502820385,0.0,最高法院裁定支持特朗普关税,2026-02-13 02:10:45+00:00,126.63016800000001,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,1.6835443037974684,0.08860759493670886,0.2632432441648594,0.0,最高法院裁定支持特朗普关税,2026-02-13 03:59:53+00:00,79.202223,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,1.9240506329113924,0.10126582278481013,0.2644736613821598,0.0,最高法院裁定支持特朗普关税,2026-02-13 04:20:25+00:00,27.856846,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,2.1645569620253164,0.11392405063291139,0.2649701707167156,0.0,最高法院裁定支持特朗普关税,2026-02-13 04:24:43+00:00,107.287542,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,2.405063291139241,0.12658227848101267,0.2676318914938464,0.0,最高法院裁定支持特朗普关税,2026-02-13 04:36:29+00:00,71.79770500000001,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,2.6455696202531644,0.13924050632911392,0.26898432243619746,0.0,最高法院裁定支持特朗普关税,2026-02-13 04:41:15+00:00,95.955871,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,2.886075949367089,0.1518987341772152,0.27,0.0,最高法院裁定支持特朗普关税,2026-02-13 04:48:29+00:00,106.01010000000001,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,3.1265822784810124,0.16455696202531644,0.2635135090225188,0.0,最高法院裁定支持特朗普关税,2026-02-13 06:02:37+00:00,152.984374,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,3.367088607594937,0.17721518987341772,0.26477706325671274,0.0,最高法院裁定支持特朗普关税,2026-02-13 07:02:53+00:00,141.043785,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
真实市场YES成交价,rq1_m03_s0,,3.607594936708861,0.189873417721519,0.27092895872718314,0.0,最高法院裁定支持特朗普关税,2026-02-13 07:52:29+00:00,6717.191899000001,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
