series,config,market,tick,frac,yes_mid,truth,market_title,ts,volume,slug
rq1_m05_s0,rq1_m05_s0,other,0.0,0.0,0.265,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,1.0,0.05263157894736842,0.245,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,2.0,0.10526315789473684,0.265,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,3.0,0.15789473684210525,0.26,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,4.0,0.21052631578947367,0.265,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,5.0,0.2631578947368421,0.255,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,6.0,0.3157894736842105,0.26,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,7.0,0.3684210526315789,0.27,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,8.0,0.42105263157894735,0.235,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,9.0,0.47368421052631576,0.26,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,10.0,0.5263157894736842,0.245,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,11.0,0.5789473684210527,0.245,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,12.0,0.631578947368421,0.245,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,13.0,0.6842105263157895,0.22,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,14.0,0.7368421052631579,0.195,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,15.0,0.7894736842105263,0.195,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,16.0,0.8421052631578947,0.19,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,17.0,0.8947368421052632,0.19,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,18.0,0.9473684210526315,0.19,0.0,,,,
rq1_m05_s0,rq1_m05_s0,other,19.0,1.0,0.19,0.0,,,,
真实市场YES成交价,rq1_m05_s0,,0.0,0.0,0.2481191503484532,0.0,比特币7月触及12.5万美元,2025-07-24 12:18:24+00:00,2061.581253,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,0.24050632911392406,0.012658227848101266,0.24443879356752293,0.0,比特币7月触及12.5万美元,2025-07-24 13:03:08+00:00,1522.845524,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,0.4810126582278481,0.02531645569620253,0.23549672299173552,0.0,比特币7月触及12.5万美元,2025-07-24 14:23:24+00:00,1545.899888,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,0.7215189873417722,0.0379746835443038,0.28581993863850236,0.0,比特币7月触及12.5万美元,2025-07-24 15:11:30+00:00,1978.408874,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,0.9620253164556962,0.05063291139240506,0.30715705287066813,0.0,比特币7月触及12.5万美元,2025-07-24 15:54:28+00:00,3074.5195449999997,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,1.2025316455696204,0.06329113924050633,0.2854842363769234,0.0,比特币7月触及12.5万美元,2025-07-24 18:11:46+00:00,3356.434272,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,1.4430379746835444,0.0759493670886076,0.27138702546752047,0.0,比特币7月触及12.5万美元,2025-07-24 21:34:28+00:00,3993.978524,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,1.6835443037974684,0.08860759493670886,0.24411852178056143,0.0,比特币7月触及12.5万美元,2025-07-25 00:03:28+00:00,2204.343683,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,1.9240506329113924,0.10126582278481013,0.20255179557971256,0.0,比特币7月触及12.5万美元,2025-07-25 02:35:34+00:00,2249.883113,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,2.1645569620253164,0.11392405063291139,0.14549915655043255,0.0,比特币7月触及12.5万美元,2025-07-25 03:52:14+00:00,5137.066872,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,2.405063291139241,0.12658227848101267,0.1431471309869733,0.0,比特币7月触及12.5万美元,2025-07-25 05:09:22+00:00,4276.633841999999,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,2.6455696202531644,0.13924050632911392,0.13235506439013323,0.0,比特币7月触及12.5万美元,2025-07-25 07:17:08+00:00,5106.148774,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,2.886075949367089,0.1518987341772152,0.11505287477444402,0.0,比特币7月触及12.5万美元,2025-07-25 09:57:44+00:00,3158.2270470000003,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,3.1265822784810124,0.16455696202531644,0.142479716820786,0.0,比特币7月触及12.5万美元,2025-07-25 11:27:01+00:00,708.4423780000001,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,3.367088607594937,0.17721518987341772,0.13640979893480934,0.0,比特币7月触及12.5万美元,2025-07-25 13:41:45+00:00,2822.84449,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,3.607594936708861,0.189873417721519,0.12801532514928135,0.0,比特币7月触及12.5万美元,2025-07-25 15:00:41+00:00,7412.926894,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,3.848101265822785,0.20253164556962025,0.1240187464749762,0.0,比特币7月触及12.5万美元,2025-07-25 16:48:23+00:00,1399.982153,will-bitcoin-reach-125k-in-july-846-114
真实市场YES成交价,rq1_m05_s0,,4.088607594936709,0.21518987341772153,0.13623302089269282,0.0,比特币7月触及12.5万美元,2025-07-25 17:16:13+00:00,6149.935651,will-bitcoin-reach-125k-in-july-846-114
