series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug,real_cum_trades
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,0.0,0.0,0.68,1.0,0.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,6.0,0.11764705882352941,0.68,1.0,0.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,6.0,0.11764705882352941,0.68,1.0,1.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,6.0,0.11764705882352941,0.68,1.0,2.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,9.0,0.17647058823529413,0.71,1.0,3.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,10.0,0.19607843137254902,0.71,1.0,4.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,14.0,0.27450980392156865,0.72,1.0,5.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,18.0,0.35294117647058826,0.72,1.0,6.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,21.0,0.4117647058823529,0.75,1.0,7.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,24.0,0.47058823529411764,0.75,1.0,8.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,24.0,0.47058823529411764,0.785,1.0,9.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,29.0,0.5686274509803921,0.78,1.0,10.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,34.0,0.6666666666666666,0.785,1.0,11.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,38.0,0.7450980392156863,0.78,1.0,12.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,44.0,0.8627450980392157,0.615,1.0,13.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,44.0,0.8627450980392157,0.615,1.0,14.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,47.0,0.9215686274509803,0.605,1.0,15.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,50.0,0.9803921568627451,0.6,1.0,16.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,50.0,0.9803921568627451,0.6,1.0,17.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,51.0,1.0,0.6,1.0,18.0,,,,
模拟市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,51.0,1.0,0.6,1.0,19.0,,,,
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,0.0,0.0,0.6421762967737552,1.0,,2026-01-23 18:18:30+00:00,2560.745366,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,38.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,0.6455696202531646,0.012658227848101266,0.6913296985857619,1.0,,2026-01-23 22:04:52+00:00,6738.7188,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,75.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,1.2911392405063291,0.02531645569620253,0.6303621418818467,1.0,,2026-01-24 06:33:18+00:00,18482.979541,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,113.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,1.9367088607594938,0.0379746835443038,0.6222993009731985,1.0,,2026-01-24 11:58:40+00:00,1074.58257,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,150.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,2.5822784810126582,0.05063291139240506,0.6336067598207386,1.0,,2026-01-24 19:05:38+00:00,2225.7216909999997,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,188.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,3.227848101265823,0.06329113924050633,0.6323571999542839,1.0,,2026-01-25 18:02:54+00:00,2015.547511,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,225.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,3.8734177215189876,0.0759493670886076,0.5934634544877497,1.0,,2026-01-26 02:25:20+00:00,4597.016305,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,263.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,4.518987341772152,0.08860759493670886,0.6113374022747697,1.0,,2026-01-27 12:42:11+00:00,1438.4824480000002,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,300.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,5.1645569620253164,0.10126582278481013,0.6396582046360367,1.0,,2026-01-28 01:54:57+00:00,164.634297,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,338.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,5.810126582278481,0.11392405063291139,0.6520477174447112,1.0,,2026-01-28 22:39:50+00:00,6236.888937,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,375.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,6.455696202531646,0.12658227848101267,0.8628395391284119,1.0,,2026-01-28 23:09:34+00:00,4499.053195,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,413.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,7.10126582278481,0.13924050632911392,0.9292545885382466,1.0,,2026-01-28 23:15:48+00:00,10926.67771,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,450.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,7.746835443037975,0.1518987341772152,0.9478830518814383,1.0,,2026-01-28 23:31:48+00:00,25821.86844,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,488.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,8.39240506329114,0.16455696202531644,0.9516035270238656,1.0,,2026-01-29 00:06:02+00:00,35085.681303,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,525.0
真实市场价格,rq1_m01_s0,特斯拉10月底前推出无监督FSD,9.037974683544304,0.17721518987341772,0.9589785304338162,1.0,,2026-01-29 01:05:56+00:00,48485.142497,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,563.0
