series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug,real_cum_trades,market,frac,yes_mid
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,21.0,0.0,0.3763724510523878,1.0,,2025-08-13 12:29:43+00:00,429.864263,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,21.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,42.0,0.008403361344537815,0.41311604530350604,1.0,,2025-08-14 06:58:18+00:00,1819.3734749999999,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,42.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,63.0,0.01680672268907563,0.402696992316742,1.0,,2025-08-15 19:24:40+00:00,1931.936792,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,63.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,83.0,0.025210084033613446,0.3833474960447125,1.0,,2025-08-16 17:38:00+00:00,3777.176488,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,83.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,104.0,0.03361344537815126,0.3751086303317522,1.0,,2025-08-18 08:05:40+00:00,2282.565392,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,104.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,125.0,0.04201680672268908,0.3533731081973316,1.0,,2025-08-19 11:17:26+00:00,3299.0919619999995,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,125.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,146.0,0.05042016806722689,0.3331347877563776,1.0,,2025-08-22 21:13:18+00:00,664.185651,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,146.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,166.0,0.058823529411764705,0.32995262949192644,1.0,,2025-08-24 16:57:45+00:00,4286.642897000001,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,166.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,187.0,0.06722689075630252,0.3151483853594054,1.0,,2025-08-26 00:40:33+00:00,1507.082326,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,187.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,208.0,0.07563025210084033,0.3142894583447404,1.0,,2025-08-27 14:05:59+00:00,2801.3464740000004,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,208.0,,,
真实市场价格,c1_robotaxi_n100_s0,c1_robotaxi_n100_s0,229.0,0.08403361344537816,0.3196908154392836,1.0,,2025-08-29 05:59:31+00:00,6605.732222999999,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,229.0,,,
