市场,config,tick,累积成交笔数,平均信念,模拟市场价格,差距,真实结局
特斯拉10月底前推出无监督FSD,rq1_m01_s0,0,6.0,0.6315,0.668,-0.03650000000000009,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,1,6.0,0.623,0.68,-0.05700000000000005,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,2,6.0,0.613,0.68,-0.06700000000000006,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,3,9.0,0.617,0.6925,-0.07550000000000001,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,4,10.0,0.629,0.71,-0.08099999999999996,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,5,14.0,0.647,0.7104999999999999,-0.06349999999999989,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,6,18.0,0.6639999999999999,0.72,-0.05600000000000005,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,7,21.0,0.6785,0.7304999999999999,-0.051999999999999935,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,8,24.0,0.6885,0.75,-0.0615,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,9,24.0,0.694,0.77275,-0.0787500000000001,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,10,29.0,0.7035,0.781,-0.07750000000000001,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,11,34.0,0.682,0.783,-0.10099999999999998,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,12,38.0,0.65225,0.781,-0.12875000000000003,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,13,44.0,0.6105,0.72175,-0.11124999999999996,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,14,44.0,0.56175,0.6144999999999999,-0.052749999999999964,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,15,47.0,0.48624999999999996,0.61175,-0.12550000000000006,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,16,50.0,0.45075000000000004,0.60175,-0.15099999999999997,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,17,50.0,0.43100000000000005,0.6,-0.16899999999999993,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,18,51.0,0.3825,0.6,-0.21749999999999997,
特斯拉10月底前推出无监督FSD,rq1_m01_s0,19,51.0,0.3485,0.6,-0.2515,
特朗普周一前部署国民警卫队,rq1_m02_s0,0,4.0,0.178,0.5,-0.322,
特朗普周一前部署国民警卫队,rq1_m02_s0,1,8.0,0.16699999999999998,0.44000000000000006,-0.2730000000000001,
特朗普周一前部署国民警卫队,rq1_m02_s0,2,11.0,0.1645,0.25925000000000004,-0.09475000000000003,
特朗普周一前部署国民警卫队,rq1_m02_s0,3,12.0,0.1585,0.262,-0.10350000000000001,
特朗普周一前部署国民警卫队,rq1_m02_s0,4,15.0,0.146,0.265,-0.11900000000000002,
特朗普周一前部署国民警卫队,rq1_m02_s0,5,19.0,0.148,0.265,-0.11700000000000002,
特朗普周一前部署国民警卫队,rq1_m02_s0,6,25.0,0.14100000000000001,0.2585,-0.1175,
特朗普周一前部署国民警卫队,rq1_m02_s0,7,29.0,0.1405,0.25,-0.10949999999999999,
特朗普周一前部署国民警卫队,rq1_m02_s0,8,32.0,0.1255,0.24175,-0.11624999999999999,
特朗普周一前部署国民警卫队,rq1_m02_s0,9,34.0,0.11750000000000001,0.2245,-0.107,
特朗普周一前部署国民警卫队,rq1_m02_s0,10,41.0,0.10725,0.22400000000000003,-0.11675000000000003,
特朗普周一前部署国民警卫队,rq1_m02_s0,11,41.0,0.09875,0.22000000000000003,-0.12125000000000002,
特朗普周一前部署国民警卫队,rq1_m02_s0,12,45.0,0.091,0.22000000000000003,-0.12900000000000003,
特朗普周一前部署国民警卫队,rq1_m02_s0,13,45.0,0.08349999999999999,0.22000000000000003,-0.13650000000000004,
特朗普周一前部署国民警卫队,rq1_m02_s0,14,46.0,0.0745,0.22000000000000003,-0.14550000000000002,
特朗普周一前部署国民警卫队,rq1_m02_s0,15,48.0,0.06999999999999999,0.22000000000000003,-0.15000000000000002,
