experiment,series,config,market,market_title,agent_id,wallet_percentile,final_pnl
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,0,0.0,0.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,17,5.2631578947368425,0.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,15,10.526315789473685,2.2527472527472514
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,19,15.789473684210527,2.599999999999999
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,3,21.05263157894737,4.5
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,7,26.315789473684212,8.34
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,4,31.578947368421055,10.5
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,2,36.8421052631579,12.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,18,42.10526315789474,12.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,13,47.36842105263158,13.263021978021976
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,9,52.631578947368425,18.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,12,57.89473684210527,18.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,14,63.15789473684211,18.915510718789402
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,16,68.42105263157896,23.745657568238215
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,1,73.6842105263158,30.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,8,78.94736842105263,31.513484928609195
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,10,84.21052631578948,44.0
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,5,89.47368421052633,52.5
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,11,94.73684210526316,60.79120879120879
baseline,正常实验,rq1_m01_s0,robotaxi,特斯拉 Robotaxi,6,100.0,88.5473076923077
baseline,正常实验,rq1_m02_s0,other,other,14,0.0,0.0
baseline,正常实验,rq1_m02_s0,other,other,15,5.2631578947368425,0.003627013359201907
baseline,正常实验,rq1_m02_s0,other,other,4,10.526315789473685,0.22141610341473325
baseline,正常实验,rq1_m02_s0,other,other,0,15.789473684210527,5.38165641005181
baseline,正常实验,rq1_m02_s0,other,other,16,21.05263157894737,6.924976647638818
baseline,正常实验,rq1_m02_s0,other,other,1,26.315789473684212,8.899862611917257
baseline,正常实验,rq1_m02_s0,other,other,18,31.578947368421055,11.265822784810126
baseline,正常实验,rq1_m02_s0,other,other,10,36.8421052631579,11.973796296296296
baseline,正常实验,rq1_m02_s0,other,other,19,42.10526315789474,12.017364
baseline,正常实验,rq1_m02_s0,other,other,8,47.36842105263158,13.484848484848486
baseline,正常实验,rq1_m02_s0,other,other,11,52.631578947368425,20.0
baseline,正常实验,rq1_m02_s0,other,other,9,57.89473684210527,20.52940769583406
baseline,正常实验,rq1_m02_s0,other,other,5,63.15789473684211,23.945510586974002
baseline,正常实验,rq1_m02_s0,other,other,2,68.42105263157896,49.7386075949367
baseline,正常实验,rq1_m02_s0,other,other,17,73.6842105263158,57.96480274000002
baseline,正常实验,rq1_m02_s0,other,other,3,78.94736842105263,62.65383483865755
baseline,正常实验,rq1_m02_s0,other,other,6,84.21052631578948,78.36013294564434
baseline,正常实验,rq1_m02_s0,other,other,13,89.47368421052633,150.90786270691333
baseline,正常实验,rq1_m02_s0,other,other,7,94.73684210526316,322.74305319865323
baseline,正常实验,rq1_m02_s0,other,other,12,100.0,342.60773032212325
baseline,正常实验,rq1_m03_s0,other,other,4,0.0,0.0
baseline,正常实验,rq1_m03_s0,other,other,17,5.2631578947368425,0.0
baseline,正常实验,rq1_m03_s0,other,other,3,10.526315789473685,1.58
