市场,智能体数量,tick,累积成交笔数,平均信念,模拟市场价格,差距
以太坊 5000 美元,10,0,2.0,0.398,0.568,-0.16999999999999993
以太坊 5000 美元,10,1,3.0,0.4411111111111111,0.578888888888889,-0.1377777777777779
以太坊 5000 美元,10,2,4.0,0.41500000000000004,0.5800000000000001,-0.16500000000000004
以太坊 5000 美元,10,3,6.0,0.40700000000000003,0.5800000000000001,-0.17300000000000004
以太坊 5000 美元,10,4,6.0,0.394,0.576,-0.18199999999999994
以太坊 5000 美元,10,5,7.0,0.375,0.575,-0.19999999999999996
以太坊 5000 美元,10,6,11.0,0.33799999999999997,0.5655,-0.22750000000000004
以太坊 5000 美元,10,7,11.0,0.317,0.556,-0.23900000000000005
以太坊 5000 美元,10,8,11.0,0.29500000000000004,0.546,-0.251
以太坊 5000 美元,10,9,12.0,0.256,0.535,-0.279
以太坊 5000 美元,10,10,13.0,0.215,0.535,-0.32000000000000006
以太坊 5000 美元,10,11,15.0,0.181,0.535,-0.35400000000000004
以太坊 5000 美元,10,12,15.0,0.15899999999999997,0.56,-0.4010000000000001
以太坊 5000 美元,10,13,15.0,0.17444444444444446,0.545,-0.3705555555555556
以太坊 5000 美元,10,14,15.0,0.179,0.5525,-0.3735
以太坊 5000 美元,10,15,17.0,0.182,0.56,-0.37800000000000006
以太坊 5000 美元,10,16,20.0,0.191,0.5355000000000001,-0.3445000000000001
以太坊 5000 美元,10,17,22.0,0.178,0.525,-0.34700000000000003
以太坊 5000 美元,10,18,25.0,0.119,0.53,-0.41100000000000003
以太坊 5000 美元,10,19,25.0,0.10200000000000001,0.52,-0.41800000000000004
以太坊 5000 美元,20,0,4.0,0.4455,0.5725,-0.127
以太坊 5000 美元,20,1,4.0,0.4255,0.57825,-0.15275000000000005
以太坊 5000 美元,20,2,9.0,0.4505,0.5925,-0.14200000000000002
以太坊 5000 美元,20,3,10.0,0.4525,0.57975,-0.12724999999999997
以太坊 5000 美元,20,4,11.0,0.4255,0.5700000000000001,-0.14450000000000007
以太坊 5000 美元,20,5,14.0,0.4025,0.5457500000000001,-0.14325000000000004
以太坊 5000 美元,20,6,18.0,0.35750000000000004,0.5445,-0.18699999999999994
以太坊 5000 美元,20,7,21.0,0.325,0.5375,-0.21249999999999997
以太坊 5000 美元,20,8,26.0,0.2965,0.526,-0.22950000000000004
以太坊 5000 美元,20,9,30.0,0.26,0.51675,-0.25675000000000003
以太坊 5000 美元,20,10,36.0,0.21200000000000002,0.49000000000000005,-0.278
以太坊 5000 美元,20,11,38.0,0.178,0.48,-0.302
以太坊 5000 美元,20,12,40.0,0.144,0.48,-0.33599999999999997
以太坊 5000 美元,20,13,40.0,0.132,0.48,-0.348
以太坊 5000 美元,20,14,41.0,0.1345,0.4335,-0.299
以太坊 5000 美元,20,15,42.0,0.126,0.36575,-0.23975000000000002
以太坊 5000 美元,20,16,42.0,0.097,0.35000000000000003,-0.253
以太坊 5000 美元,20,17,44.0,0.0805,0.35000000000000003,-0.2695
以太坊 5000 美元,20,18,46.0,0.0705,0.35000000000000003,-0.2795
以太坊 5000 美元,20,19,46.0,0.0615,0.35000000000000003,-0.28850000000000003
以太坊 5000 美元,50,0,7.0,0.5112,0.5914,-0.08020000000000005
以太坊 5000 美元,50,1,13.0,0.48560000000000003,0.6021,-0.11649999999999994
以太坊 5000 美元,50,2,14.0,0.47839999999999994,0.5637000000000001,-0.08530000000000015
以太坊 5000 美元,50,3,25.0,0.45980000000000004,0.5867,-0.12689999999999996
以太坊 5000 美元,50,4,30.0,0.43560000000000004,0.5876,-0.15199999999999997
以太坊 5000 美元,50,5,46.0,0.42979999999999996,0.5858,-0.15600000000000003
以太坊 5000 美元,50,6,48.0,0.4252,0.585,-0.15979999999999994
以太坊 5000 美元,50,7,55.0,0.4178,0.585,-0.16719999999999996
以太坊 5000 美元,50,8,62.0,0.40259999999999996,0.585,-0.1824
以太坊 5000 美元,50,9,74.0,0.37979591836734694,0.5780612244897959,-0.19826530612244897
以太坊 5000 美元,50,10,92.0,0.363,0.5655,-0.2025
以太坊 5000 美元,50,11,105.0,0.3273469387755102,0.5594897959183674,-0.23214285714285726
以太坊 5000 美元,50,12,119.0,0.29760000000000003,0.548,-0.2504
以太坊 5000 美元,50,13,133.0,0.26030000000000003,0.545,-0.2847
以太坊 5000 美元,50,14,153.0,0.22744,0.541,-0.31356000000000006
以太坊 5000 美元,50,15,166.0,0.19940000000000002,0.525,-0.3256
