市场,决策轮数,tick,累积成交笔数,平均信念,模拟市场价格,差距
以太坊 5000 美元,10,0,3.0,0.45549999999999996,0.5765,-0.12100000000000005
以太坊 5000 美元,10,1,6.0,0.43499999999999994,0.5702499999999999,-0.13524999999999998
以太坊 5000 美元,10,2,7.0,0.41950000000000004,0.5815,-0.16199999999999998
以太坊 5000 美元,10,3,8.0,0.4,0.595,-0.19499999999999995
以太坊 5000 美元,10,4,9.0,0.41150000000000003,0.595,-0.18349999999999994
以太坊 5000 美元,10,5,15.0,0.4035,0.595,-0.19149999999999995
以太坊 5000 美元,10,6,18.0,0.382,0.593,-0.21099999999999997
以太坊 5000 美元,10,7,22.0,0.365,0.5762499999999999,-0.21124999999999994
以太坊 5000 美元,10,8,24.0,0.3315,0.55775,-0.22624999999999995
以太坊 5000 美元,10,9,28.0,0.273,0.5407500000000001,-0.26775000000000004
以太坊 5000 美元,20,0,2.0,0.4585,0.57325,-0.11475000000000002
以太坊 5000 美元,20,1,2.0,0.437,0.585,-0.14799999999999996
以太坊 5000 美元,20,2,3.0,0.43200000000000005,0.585,-0.1529999999999999
以太坊 5000 美元,20,3,10.0,0.43899999999999995,0.58425,-0.1452500000000001
以太坊 5000 美元,20,4,11.0,0.4225,0.61,-0.1875
以太坊 5000 美元,20,5,12.0,0.4205,0.5904999999999999,-0.16999999999999993
以太坊 5000 美元,20,6,14.0,0.38315789473684214,0.5942105263157894,-0.21105263157894727
以太坊 5000 美元,20,7,16.0,0.3745,0.58675,-0.21225
以太坊 5000 美元,20,8,19.0,0.376,0.595,-0.21899999999999997
以太坊 5000 美元,20,9,23.0,0.388,0.595,-0.20699999999999996
以太坊 5000 美元,20,10,28.0,0.4,0.5965,-0.1965
以太坊 5000 美元,20,11,29.0,0.3915,0.59,-0.19849999999999995
以太坊 5000 美元,20,12,33.0,0.383,0.59,-0.20699999999999996
以太坊 5000 美元,20,13,38.0,0.372,0.582,-0.20999999999999996
以太坊 5000 美元,20,14,41.0,0.3665,0.5802499999999999,-0.21374999999999994
以太坊 5000 美元,20,15,45.0,0.346,0.5845,-0.23850000000000005
以太坊 5000 美元,20,16,49.0,0.3355,0.5915,-0.256
以太坊 5000 美元,20,17,52.0,0.329,0.573,-0.24399999999999994
以太坊 5000 美元,20,18,53.0,0.3275,0.56775,-0.24024999999999996
以太坊 5000 美元,20,19,57.0,0.286,0.55525,-0.26925000000000004
以太坊 5000 美元,50,0,2.0,0.5495,0.5777500000000001,-0.02825000000000011
以太坊 5000 美元,50,1,5.0,0.5375,0.585,-0.04749999999999999
以太坊 5000 美元,50,2,11.0,0.521,0.59,-0.06899999999999995
以太坊 5000 美元,50,3,15.0,0.5145,0.595,-0.08050000000000002
以太坊 5000 美元,50,4,22.0,0.5305,0.5955,-0.06500000000000006
以太坊 5000 美元,50,5,23.0,0.538,0.6,-0.061999999999999944
以太坊 5000 美元,50,6,24.0,0.525,0.6,-0.07499999999999996
以太坊 5000 美元,50,7,29.0,0.5155000000000001,0.5984999999999999,-0.08299999999999985
以太坊 5000 美元,50,8,34.0,0.49450000000000005,0.58275,-0.08824999999999994
以太坊 5000 美元,50,9,37.0,0.4615,0.57275,-0.11124999999999996
以太坊 5000 美元,50,10,38.0,0.4225,0.5567500000000001,-0.1342500000000001
以太坊 5000 美元,50,11,39.0,0.34750000000000003,0.555,-0.20750000000000002
以太坊 5000 美元,50,12,41.0,0.3385,0.5455,-0.20699999999999996
以太坊 5000 美元,50,13,46.0,0.3125,0.5515000000000001,-0.2390000000000001
以太坊 5000 美元,50,14,49.0,0.298,0.5505000000000001,-0.2525000000000001
以太坊 5000 美元,50,15,52.0,0.34550000000000003,0.533,-0.1875
以太坊 5000 美元,50,16,52.0,0.3155,0.54,-0.22450000000000003
以太坊 5000 美元,50,17,58.0,0.308,0.5355000000000001,-0.2275000000000001
以太坊 5000 美元,50,18,60.0,0.2875,0.525,-0.23750000000000004
以太坊 5000 美元,50,19,60.0,0.252,0.52075,-0.26875000000000004
以太坊 5000 美元,50,20,60.0,0.217,0.52,-0.30300000000000005
以太坊 5000 美元,50,21,60.0,0.1945,0.52,-0.3255
以太坊 5000 美元,50,22,60.0,0.17052631578947366,0.52,-0.3494736842105264
以太坊 5000 美元,50,23,60.0,0.1595,0.52,-0.36050000000000004
以太坊 5000 美元,50,24,64.0,0.1475,0.506,-0.35850000000000004
以太坊 5000 美元,50,25,69.0,0.1363157894736842,0.43078947368421056,-0.29447368421052633
以太坊 5000 美元,50,26,69.0,0.11777777777777779,0.49194444444444446,-0.37416666666666665
以太坊 5000 美元,50,27,70.0,0.15947368421052632,0.61,-0.45052631578947366
以太坊 5000 美元,50,28,75.0,0.16842105263157894,0.2823684210526316,-0.11394736842105266
以太坊 5000 美元,50,29,81.0,0.1135,0.19025,-0.07675
以太坊 5000 美元,50,30,89.0,0.1095,0.1945,-0.085
以太坊 5000 美元,50,31,91.0,0.10700000000000001,0.195,-0.088
以太坊 5000 美元,50,32,94.0,0.10200000000000001,0.1945,-0.0925
以太坊 5000 美元,50,33,96.0,0.0965,0.1945,-0.098
以太坊 5000 美元,50,34,103.0,0.1,0.1865,-0.0865
以太坊 5000 美元,50,35,108.0,0.08921052631578948,0.1794736842105263,-0.09026315789473684
以太坊 5000 美元,50,36,108.0,0.07425000000000001,0.183,-0.10874999999999999
以太坊 5000 美元,50,37,110.0,0.06925,0.1785,-0.10924999999999999
以太坊 5000 美元,50,38,112.0,0.065,0.18,-0.11499999999999999
以太坊 5000 美元,50,39,114.0,0.05785,0.18,-0.12215
以太坊 5000 美元,50,40,117.0,0.0631,0.18,-0.11689999999999999
以太坊 5000 美元,50,41,120.0,0.05800000000000001,0.18,-0.12199999999999998
以太坊 5000 美元,50,42,122.0,0.052500000000000005,0.18,-0.1275
以太坊 5000 美元,50,43,134.0,0.05,0.164,-0.114
以太坊 5000 美元,50,44,137.0,0.0465,0.15,-0.1035
以太坊 5000 美元,50,45,139.0,0.04263157894736842,0.1,-0.05736842105263158
以太坊 5000 美元,50,46,139.0,0.038,0.098,-0.060000000000000005
以太坊 5000 美元,50,47,144.0,0.034999999999999996,0.08499999999999999,-0.049999999999999996
以太坊 5000 美元,50,48,148.0,0.03368421052631579,0.07605263157894737,-0.04236842105263158
以太坊 5000 美元,50,49,149.0,0.03025,0.07,-0.03975000000000001
以太坊 5000 美元,100,0,1.0,0.5315,0.5770000000000001,-0.045500000000000096
以太坊 5000 美元,100,1,3.0,0.5045,0.5800000000000001,-0.07550000000000012
以太坊 5000 美元,100,2,3.0,0.4965,0.5845,-0.08800000000000002
以太坊 5000 美元,100,3,3.0,0.49450000000000005,0.585,-0.09049999999999991
以太坊 5000 美元,100,4,6.0,0.4925,0.585,-0.09249999999999997
以太坊 5000 美元,100,5,7.0,0.49444444444444446,0.585,-0.0905555555555555
