模块,市场,条件,tick,累积成交笔数,平均信念,模拟市场价格,差距
画像分布,以太坊 5000 美元,经验自然分布,0,1.0,0.505,0.57675,-0.07174999999999998
画像分布,以太坊 5000 美元,经验自然分布,1,5.0,0.48,0.58125,-0.10125000000000006
画像分布,以太坊 5000 美元,经验自然分布,2,6.0,0.47300000000000003,0.5774999999999999,-0.10449999999999987
画像分布,以太坊 5000 美元,经验自然分布,3,14.0,0.4525,0.5865,-0.134
画像分布,以太坊 5000 美元,经验自然分布,4,19.0,0.4325,0.57225,-0.13975000000000004
画像分布,以太坊 5000 美元,经验自然分布,5,19.0,0.397,0.5787500000000001,-0.18175000000000008
画像分布,以太坊 5000 美元,经验自然分布,6,23.0,0.377,0.5705,-0.1935
画像分布,以太坊 5000 美元,经验自然分布,7,29.0,0.34950000000000003,0.53925,-0.18974999999999997
画像分布,以太坊 5000 美元,经验自然分布,8,32.0,0.301,0.522,-0.22100000000000003
画像分布,以太坊 5000 美元,经验自然分布,9,32.0,0.2555,0.513,-0.2575
画像分布,以太坊 5000 美元,经验自然分布,10,34.0,0.2145,0.46975,-0.25525
画像分布,以太坊 5000 美元,经验自然分布,11,34.0,0.173,0.45,-0.277
画像分布,以太坊 5000 美元,经验自然分布,12,34.0,0.139,0.45,-0.311
画像分布,以太坊 5000 美元,经验自然分布,13,34.0,0.12250000000000001,0.45,-0.3275
画像分布,以太坊 5000 美元,经验自然分布,14,35.0,0.1165,0.395,-0.2785
画像分布,以太坊 5000 美元,经验自然分布,15,36.0,0.0965,0.35000000000000003,-0.25350000000000006
画像分布,以太坊 5000 美元,经验自然分布,16,39.0,0.087,0.35000000000000003,-0.263
画像分布,以太坊 5000 美元,经验自然分布,17,41.0,0.0785,0.35000000000000003,-0.2715
画像分布,以太坊 5000 美元,经验自然分布,18,42.0,0.0605,0.35000000000000003,-0.28950000000000004
画像分布,以太坊 5000 美元,经验自然分布,19,44.0,0.05157894736842105,0.35000000000000003,-0.298421052631579
画像分布,以太坊 5000 美元,集中分布,0,4.0,0.47800000000000004,0.57975,-0.10174999999999995
画像分布,以太坊 5000 美元,集中分布,1,11.0,0.46399999999999997,0.59,-0.126
画像分布,以太坊 5000 美元,集中分布,2,18.0,0.46499999999999997,0.59625,-0.13124999999999998
画像分布,以太坊 5000 美元,集中分布,3,22.0,0.46349999999999997,0.6047499999999999,-0.14124999999999993
画像分布,以太坊 5000 美元,集中分布,4,24.0,0.4755,0.61,-0.1345
画像分布,以太坊 5000 美元,集中分布,5,32.0,0.501,0.60775,-0.10675000000000001
画像分布,以太坊 5000 美元,集中分布,6,38.0,0.5309999999999999,0.608,-0.07700000000000007
画像分布,以太坊 5000 美元,集中分布,7,39.0,0.533,0.602,-0.06899999999999995
画像分布,以太坊 5000 美元,集中分布,8,43.0,0.5309999999999999,0.621,-0.09000000000000008
画像分布,以太坊 5000 美元,集中分布,9,44.0,0.4955,0.63,-0.1345
画像分布,以太坊 5000 美元,集中分布,10,47.0,0.48250000000000004,0.63,-0.14749999999999996
画像分布,以太坊 5000 美元,集中分布,11,50.0,0.47750000000000004,0.63,-0.15249999999999997
画像分布,以太坊 5000 美元,集中分布,12,53.0,0.4665,0.6295,-0.16299999999999992
画像分布,以太坊 5000 美元,集中分布,13,56.0,0.457,0.6287499999999999,-0.1717499999999999
画像分布,以太坊 5000 美元,集中分布,14,61.0,0.44299999999999995,0.623,-0.18000000000000005
画像分布,以太坊 5000 美元,集中分布,15,65.0,0.41500000000000004,0.6075,-0.1925
画像分布,以太坊 5000 美元,集中分布,16,70.0,0.3835,0.607,-0.22349999999999998
画像分布,以太坊 5000 美元,集中分布,17,76.0,0.34210526315789475,0.6042105263157895,-0.2621052631578948
画像分布,以太坊 5000 美元,集中分布,18,80.0,0.3147368421052632,0.6021052631578947,-0.2873684210526315
画像分布,以太坊 5000 美元,集中分布,19,83.0,0.3075,0.573,-0.26549999999999996
画像分布,以太坊 5000 美元,均匀分布,0,3.0,0.546,0.5832499999999999,-0.037249999999999894
画像分布,以太坊 5000 美元,均匀分布,1,3.0,0.532,0.585,-0.052999999999999936
画像分布,以太坊 5000 美元,均匀分布,2,6.0,0.5285,0.585,-0.056499999999999995
画像分布,以太坊 5000 美元,均匀分布,3,11.0,0.521,0.5934999999999999,-0.0724999999999999
画像分布,以太坊 5000 美元,均匀分布,4,11.0,0.5195000000000001,0.595,-0.0754999999999999
画像分布,以太坊 5000 美元,均匀分布,5,14.0,0.5135,0.595,-0.08150000000000002
画像分布,以太坊 5000 美元,均匀分布,6,16.0,0.5135,0.595,-0.08150000000000002
画像分布,以太坊 5000 美元,均匀分布,7,20.0,0.4973684210526315,0.5971052631578947,-0.09973684210526318
画像分布,以太坊 5000 美元,均匀分布,8,25.0,0.48650000000000004,0.57,-0.08349999999999991
画像分布,以太坊 5000 美元,均匀分布,9,26.0,0.453,0.56775,-0.11474999999999996
画像分布,以太坊 5000 美元,均匀分布,10,26.0,0.40549999999999997,0.57575,-0.17025
画像分布,以太坊 5000 美元,均匀分布,11,28.0,0.40599999999999997,0.5625,-0.15650000000000003
画像分布,以太坊 5000 美元,均匀分布,12,29.0,0.402,0.5589999999999999,-0.15699999999999992
画像分布,以太坊 5000 美元,均匀分布,13,34.0,0.3685,0.5235000000000001,-0.15500000000000008
画像分布,以太坊 5000 美元,均匀分布,14,36.0,0.3305,0.544,-0.21350000000000002
画像分布,以太坊 5000 美元,均匀分布,15,39.0,0.2845,0.55,-0.26550000000000007
画像分布,以太坊 5000 美元,均匀分布,16,40.0,0.2525,0.55,-0.29750000000000004
画像分布,以太坊 5000 美元,均匀分布,17,40.0,0.22000000000000003,0.55,-0.33
画像分布,以太坊 5000 美元,均匀分布,18,40.0,0.233,0.55,-0.31700000000000006
画像分布,以太坊 5000 美元,均匀分布,19,41.0,0.21000000000000002,0.55,-0.34
画像分布,特斯拉 Robotaxi,经验自然分布,0,1.0,0.38449999999999995,0.48175,-0.09725000000000006
画像分布,特斯拉 Robotaxi,经验自然分布,1,1.0,0.3785,0.48599999999999993,-0.10749999999999993
画像分布,特斯拉 Robotaxi,经验自然分布,2,2.0,0.39249999999999996,0.49800000000000005,-0.1055000000000001
画像分布,特斯拉 Robotaxi,经验自然分布,3,2.0,0.3885,0.5,-0.11149999999999999
画像分布,特斯拉 Robotaxi,经验自然分布,4,2.0,0.385,0.5,-0.11499999999999999
画像分布,特斯拉 Robotaxi,经验自然分布,5,7.0,0.3865,0.49974999999999997,-0.11324999999999996
画像分布,特斯拉 Robotaxi,经验自然分布,6,10.0,0.38,0.49800000000000005,-0.11800000000000005
画像分布,特斯拉 Robotaxi,经验自然分布,7,10.0,0.372,0.499,-0.127
画像分布,特斯拉 Robotaxi,经验自然分布,8,17.0,0.3635,0.49874999999999997,-0.13524999999999998
画像分布,特斯拉 Robotaxi,经验自然分布,9,21.0,0.361,0.5025000000000001,-0.14150000000000007
画像分布,特斯拉 Robotaxi,经验自然分布,10,25.0,0.34750000000000003,0.485,-0.13749999999999996
画像分布,特斯拉 Robotaxi,经验自然分布,11,27.0,0.3255,0.46224999999999994,-0.13674999999999993
画像分布,特斯拉 Robotaxi,经验自然分布,12,29.0,0.28700000000000003,0.44875,-0.16174999999999995
画像分布,特斯拉 Robotaxi,经验自然分布,13,29.0,0.262,0.425,-0.16299999999999998
画像分布,特斯拉 Robotaxi,经验自然分布,14,31.0,0.23349999999999999,0.40700000000000003,-0.17350000000000004
画像分布,特斯拉 Robotaxi,经验自然分布,15,32.0,0.2,0.3975,-0.1975
画像分布,特斯拉 Robotaxi,经验自然分布,16,34.0,0.1865,0.39,-0.20350000000000001
画像分布,特斯拉 Robotaxi,经验自然分布,17,35.0,0.1645,0.3935,-0.229
画像分布,特斯拉 Robotaxi,经验自然分布,18,38.0,0.13599999999999998,0.3915,-0.25550000000000006
画像分布,特斯拉 Robotaxi,经验自然分布,19,39.0,0.1395,0.39,-0.2505
画像分布,特斯拉 Robotaxi,集中分布,0,0.0,0.36550000000000005,0.466,-0.10049999999999998
画像分布,特斯拉 Robotaxi,集中分布,1,5.0,0.34700000000000003,0.472,-0.12499999999999994
画像分布,特斯拉 Robotaxi,集中分布,2,6.0,0.3415,0.45099999999999996,-0.10949999999999993
画像分布,特斯拉 Robotaxi,集中分布,3,8.0,0.32894736842105265,0.41684210526315796,-0.0878947368421053
画像分布,特斯拉 Robotaxi,集中分布,4,9.0,0.323,0.4425,-0.1195
画像分布,特斯拉 Robotaxi,集中分布,5,11.0,0.3375,0.45074999999999993,-0.1132499999999999
画像分布,特斯拉 Robotaxi,集中分布,6,12.0,0.3275,0.45574999999999993,-0.12824999999999992
画像分布,特斯拉 Robotaxi,集中分布,7,14.0,0.321,0.45999999999999996,-0.13899999999999996
画像分布,特斯拉 Robotaxi,集中分布,8,17.0,0.3275,0.45999999999999996,-0.13249999999999995
画像分布,特斯拉 Robotaxi,集中分布,9,21.0,0.3245,0.42600000000000005,-0.10150000000000003
画像分布,特斯拉 Robotaxi,集中分布,10,21.0,0.3065,0.43624999999999997,-0.12974999999999998
画像分布,特斯拉 Robotaxi,集中分布,11,22.0,0.307,0.43150000000000005,-0.12450000000000006
画像分布,特斯拉 Robotaxi,集中分布,12,26.0,0.2935,0.40750000000000003,-0.11400000000000005
画像分布,特斯拉 Robotaxi,集中分布,13,29.0,0.28250000000000003,0.3915,-0.10899999999999999
画像分布,特斯拉 Robotaxi,集中分布,14,31.0,0.2625,0.38125,-0.11874999999999997
画像分布,特斯拉 Robotaxi,集中分布,15,31.0,0.23349999999999999,0.39,-0.15650000000000003
画像分布,特斯拉 Robotaxi,集中分布,16,31.0,0.229,0.39,-0.161
画像分布,特斯拉 Robotaxi,集中分布,17,32.0,0.2205,0.39,-0.1695
画像分布,特斯拉 Robotaxi,集中分布,18,32.0,0.21200000000000002,0.39,-0.178
画像分布,特斯拉 Robotaxi,集中分布,19,33.0,0.209,0.39,-0.18100000000000002
画像分布,特斯拉 Robotaxi,均匀分布,0,3.0,0.41150000000000003,0.5,-0.08849999999999997
画像分布,特斯拉 Robotaxi,均匀分布,1,3.0,0.40650000000000003,0.5,-0.09349999999999997
画像分布,特斯拉 Robotaxi,均匀分布,2,7.0,0.4,0.50075,-0.10075
画像分布,特斯拉 Robotaxi,均匀分布,3,11.0,0.39849999999999997,0.5,-0.10150000000000003
画像分布,特斯拉 Robotaxi,均匀分布,4,14.0,0.393,0.5,-0.10699999999999998
画像分布,特斯拉 Robotaxi,均匀分布,5,17.0,0.394,0.5,-0.10599999999999998
画像分布,特斯拉 Robotaxi,均匀分布,6,19.0,0.393,0.50175,-0.10875000000000001
画像分布,特斯拉 Robotaxi,均匀分布,7,23.0,0.39449999999999996,0.5035000000000001,-0.1090000000000001
画像分布,特斯拉 Robotaxi,均匀分布,8,29.0,0.38849999999999996,0.4615,-0.07300000000000006
画像分布,特斯拉 Robotaxi,均匀分布,9,35.0,0.3795,0.48,-0.10049999999999998
画像分布,特斯拉 Robotaxi,均匀分布,10,39.0,0.3568421052631579,0.48026315789473684,-0.12342105263157893
画像分布,特斯拉 Robotaxi,均匀分布,11,42.0,0.333,0.46624999999999994,-0.13324999999999992
画像分布,特斯拉 Robotaxi,均匀分布,12,42.0,0.2995,0.42024999999999996,-0.12074999999999997
画像分布,特斯拉 Robotaxi,均匀分布,13,45.0,0.2835,0.4245,-0.14100000000000001
