experiment,series,config,market,market_title,agent_id,wallet_percentile,final_pnl
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,13,0.0,0.0
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,1,5.2631578947368425,0.0
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,9,10.526315789473685,0.0
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,7,15.789473684210527,3.0198066269804257e-15
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,12,21.05263157894737,6.0396132539608514e-15
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,15,26.315789473684212,0.003773584905660599
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,4,31.578947368421055,8.5
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,17,36.8421052631579,10.08023292383323
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,0,42.10526315789474,11.666666666666668
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,10,47.36842105263158,12.75
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,19,52.631578947368425,23.12236987841541
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,2,57.89473684210527,29.142857142857142
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,3,63.15789473684211,38.88888888888889
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,5,68.42105263157896,56.111111111111114
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,11,73.6842105263158,56.58508158508158
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,6,78.94736842105263,60.0
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,8,84.21052631578948,82.8325
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,14,89.47368421052633,90.45154845154845
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,16,94.73684210526316,687.6551956815115
ablation_c4,经验自然分布,c4_ethereum_natural_s0,ethereum,以太坊 5000 美元,18,100.0,2547.716282051282
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,5,0.0,0.0
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,12,5.2631578947368425,0.0012636517241371246
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,14,10.526315789473685,0.059523809523809756
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,18,15.789473684210527,3.018939393939394
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,15,21.05263157894737,5.5274822695035475
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,8,26.315789473684212,6.097560975609756
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,19,31.578947368421055,6.245341614906833
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,10,36.8421052631579,6.521739130434782
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,1,42.10526315789474,7.779075128618724
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,6,47.36842105263158,10.0
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,2,52.631578947368425,10.171638416909735
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,0,57.89473684210527,14.412966432474628
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,7,63.15789473684211,15.732240756147004
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,9,68.42105263157896,23.61550557391603
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,3,73.6842105263158,60.65407539210565
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,13,78.94736842105263,61.711407269214995
ablation_c4,集中分布,c4_ethereum_concentrated_s0,ethereum,以太坊 5000 美元,11,84.21052631578948,89.68742832047752
