模块,市场,条件,行为模式,占比
画像分布,以太坊 5000 美元,经验自然分布,信号反向型,0.15
画像分布,以太坊 5000 美元,经验自然分布,激进套利型,0.1
画像分布,以太坊 5000 美元,经验自然分布,频繁挂撤型,0.75
画像分布,以太坊 5000 美元,集中分布,信号反向型,0.35
画像分布,以太坊 5000 美元,集中分布,信念锚定型,0.1
画像分布,以太坊 5000 美元,集中分布,激进套利型,0.25
画像分布,以太坊 5000 美元,集中分布,频繁挂撤型,0.3
画像分布,以太坊 5000 美元,均匀分布,信号反向型,0.15
画像分布,以太坊 5000 美元,均匀分布,信念锚定型,0.1
画像分布,以太坊 5000 美元,均匀分布,激进套利型,0.25
画像分布,以太坊 5000 美元,均匀分布,频繁挂撤型,0.5
画像分布,特斯拉 Robotaxi,经验自然分布,信号反向型,0.05
画像分布,特斯拉 Robotaxi,经验自然分布,信念锚定型,0.1
画像分布,特斯拉 Robotaxi,经验自然分布,激进套利型,0.25
画像分布,特斯拉 Robotaxi,经验自然分布,频繁挂撤型,0.6
画像分布,特斯拉 Robotaxi,集中分布,信号反向型,0.1
画像分布,特斯拉 Robotaxi,集中分布,信念锚定型,0.25
画像分布,特斯拉 Robotaxi,集中分布,激进套利型,0.15
画像分布,特斯拉 Robotaxi,集中分布,频繁挂撤型,0.5
画像分布,特斯拉 Robotaxi,均匀分布,信号反向型,0.2
画像分布,特斯拉 Robotaxi,均匀分布,信念锚定型,0.25
画像分布,特斯拉 Robotaxi,均匀分布,激进套利型,0.1
画像分布,特斯拉 Robotaxi,均匀分布,频繁挂撤型,0.45
思考模式,以太坊 5000 美元,开启思考,信号反向型,0.15
思考模式,以太坊 5000 美元,开启思考,信念锚定型,0.2
思考模式,以太坊 5000 美元,开启思考,激进套利型,0.2
思考模式,以太坊 5000 美元,开启思考,频繁挂撤型,0.45
思考模式,以太坊 5000 美元,关闭思考,信号反向型,0.15
思考模式,以太坊 5000 美元,关闭思考,信念锚定型,0.15
思考模式,以太坊 5000 美元,关闭思考,激进套利型,0.15
思考模式,以太坊 5000 美元,关闭思考,频繁挂撤型,0.55
思考模式,特斯拉 Robotaxi,开启思考,信号反向型,0.4
思考模式,特斯拉 Robotaxi,开启思考,信念锚定型,0.1
思考模式,特斯拉 Robotaxi,开启思考,频繁挂撤型,0.5
思考模式,特斯拉 Robotaxi,关闭思考,信号反向型,0.2
思考模式,特斯拉 Robotaxi,关闭思考,信念锚定型,0.2
思考模式,特斯拉 Robotaxi,关闭思考,激进套利型,0.1
思考模式,特斯拉 Robotaxi,关闭思考,频繁挂撤型,0.5
信念更新工具,以太坊 5000 美元,开启信念更新,信号反向型,0.4
信念更新工具,以太坊 5000 美元,开启信念更新,信念锚定型,0.15
信念更新工具,以太坊 5000 美元,开启信念更新,激进套利型,0.05
信念更新工具,以太坊 5000 美元,开启信念更新,频繁挂撤型,0.4
信念更新工具,以太坊 5000 美元,关闭信念更新,信念锚定型,0.8
信念更新工具,以太坊 5000 美元,关闭信念更新,频繁挂撤型,0.2
信念更新工具,特斯拉 Robotaxi,开启信念更新,信号反向型,0.2
信念更新工具,特斯拉 Robotaxi,开启信念更新,信念锚定型,0.2
信念更新工具,特斯拉 Robotaxi,开启信念更新,激进套利型,0.15
信念更新工具,特斯拉 Robotaxi,开启信念更新,频繁挂撤型,0.45
信念更新工具,特斯拉 Robotaxi,关闭信念更新,信念锚定型,0.8
信念更新工具,特斯拉 Robotaxi,关闭信念更新,频繁挂撤型,0.2
