config,slug,market_key,n_agents,n_ticks,truth,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,notional,fills_per_agent_tick,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
rq1_m01_s0,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,robotaxi,20,20,1.0,YES 结局=1.00,0.635,0.68,0.6,-0.08000000000000007,-0.08000000000000007,0.4,0.04096960790549289,0.16500000000000004,51,288.781028358738,0.1275,14.4390514179369,0.21610169491525424,1.9019607843137254,0.2770265084748577,0.47659340659340366,23.142336890765062,88.5473076923077
rq1_m02_s0,will-trump-deploy-national-guard-in-dc-by-monday,other,20,20,1.0,YES 结局=1.00,0.21,0.5,0.22,-0.28,-0.28,0.78,0.054809611996906725,0.24,55,975.8890984964157,0.1375,48.79445492482078,0.24774774774774774,2.018181818181818,0.2869178479720751,5.67896678699997,100.10747421708311,342.60773032212325
rq1_m03_s0,will-the-supreme-court-rule-in-favor-of-trumps-tariffs,other,20,20,0.0,NO 结局，YES=0.00,0.2728568719520091,0.275,0.395,0.12,-0.12,0.395,0.008634894527947167,0.024999999999999967,54,503.67478999985224,0.135,25.183739499992612,0.25,1.9814814814814814,0.23824897013415183,0.5175000000000466,209.22771716916236,950.4213846153846
rq1_m04_s0,katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,other,20,20,0.0,NO 结局，YES=0.00,0.2938817668092075,0.33999999999999997,0.3,-0.03999999999999998,0.03999999999999998,0.3,0.04008032869797866,0.16000000000000003,71,313.96247536039766,0.1775,15.698123768019883,0.3212669683257919,1.295774647887324,0.12740376044648,-0.7012326592737583,38.75710736398021,166.20894939181952
rq1_m05_s0,will-bitcoin-reach-125k-in-july-846-114,other,20,20,0.0,NO 结局，YES=0.00,0.235,0.265,0.19,-0.07500000000000001,0.07500000000000001,0.19,0.015145493221162556,0.03500000000000003,52,471.917643467871,0.13,23.59588217339355,0.2549019607843137,2.4038461538461537,0.1589260351633921,-10.174999999999983,43.61335982122223,149.5368808895172
rq1_m06_s0,btc-above-100k-till-2025-end,other,20,20,1.0,YES 结局=1.00,0.57,0.565,0.52,-0.04499999999999993,-0.04499999999999993,0.48,0.01790161546501627,0.04499999999999993,58,919.7417863242182,0.145,45.98708931621091,0.27488151658767773,2.086206896551724,0.048926775611494264,-0.2671795123401431,1179.5056097335753,5330.071286885246
rq1_m07_s0,will-microstrategy-purchase-bitcoin-august-26-september-1,other,20,20,0.0,NO 结局，YES=0.00,0.8057163662567419,0.86,0.76,-0.09999999999999998,0.09999999999999998,0.76,0.011483524939200478,0.029999999999999916,47,494.4527966394445,0.1175,24.722639831972224,0.21559633027522937,2.3404255319148937,0.20224377469325971,-0.39236069735292717,208.3613985893963,816.0
rq1_m08_s0,nfl-kc-nyg-2025-09-21,other,20,20,1.0,YES 结局=1.00,0.715,0.75,0.87,0.12,0.12,0.13,0.008472521804692752,0.030000000000000027,68,630.8540243884535,0.17,31.542701219422675,0.30493273542600896,1.338235294117647,0.19021833159632667,-0.7997978834999806,72.95282867429556,256.9598092161275
rq1_m09_s0,nfl-bal-buf-2025-09-07,other,20,20,0.0,NO 结局，YES=0.00,0.51,0.54,0.515,-0.025000000000000022,0.025000000000000022,0.515,0.009104654680003267,0.020000000000000018,67,692.4845068270126,0.1675,34.62422534135063,0.29646017699115046,1.507462686567164,0.03610189073334054,-0.24164281986722855,59.716219476812,221.98697466330344
rq1_m10_s0,lord-miles-completes-40-day-water-fast-in-the-dessert,other,20,20,0.0,NO 结局，YES=0.00,0.24,0.24,0.21,-0.03,0.03,0.21,0.009867543820659302,0.024999999999999994,61,665.3955485894685,0.1525,33.26977742947342,0.2747747747747748,1.7704918032786885,0.04508596437652036,-6.275549999999997,51.6242627892907,180.91984848484847
