series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
n=10,c1_ethereum_n10_s0,ethereum,0,0.0,0.575,0.0,0.0,0.0
n=10,c1_ethereum_n10_s0,ethereum,0,0.0,0.575,0.0,2.0,0.08
n=10,c1_ethereum_n10_s0,ethereum,1,0.05263157894736842,0.5800000000000001,0.0,3.0,0.12
n=10,c1_ethereum_n10_s0,ethereum,2,0.10526315789473684,0.5800000000000001,0.0,4.0,0.16
n=10,c1_ethereum_n10_s0,ethereum,3,0.15789473684210525,0.5800000000000001,0.0,6.0,0.24
n=10,c1_ethereum_n10_s0,ethereum,4,0.21052631578947367,0.585,0.0,6.0,0.24
n=10,c1_ethereum_n10_s0,ethereum,5,0.2631578947368421,0.565,0.0,7.0,0.28
n=10,c1_ethereum_n10_s0,ethereum,6,0.3157894736842105,0.56,0.0,11.0,0.44
n=10,c1_ethereum_n10_s0,ethereum,7,0.3684210526315789,0.55,0.0,11.0,0.44
n=10,c1_ethereum_n10_s0,ethereum,8,0.42105263157894735,0.545,0.0,11.0,0.44
n=10,c1_ethereum_n10_s0,ethereum,9,0.47368421052631576,0.535,0.0,12.0,0.48
n=10,c1_ethereum_n10_s0,ethereum,10,0.5263157894736842,0.535,0.0,13.0,0.52
n=10,c1_ethereum_n10_s0,ethereum,11,0.5789473684210527,0.535,0.0,15.0,0.6
n=10,c1_ethereum_n10_s0,ethereum,12,0.631578947368421,0.56,0.0,15.0,0.6
n=10,c1_ethereum_n10_s0,ethereum,13,0.6842105263157895,0.545,0.0,15.0,0.6
n=10,c1_ethereum_n10_s0,ethereum,14,0.7368421052631579,0.56,0.0,15.0,0.6
n=10,c1_ethereum_n10_s0,ethereum,15,0.7894736842105263,0.56,0.0,17.0,0.68
n=10,c1_ethereum_n10_s0,ethereum,16,0.8421052631578947,0.525,0.0,20.0,0.8
n=10,c1_ethereum_n10_s0,ethereum,17,0.8947368421052632,0.525,0.0,22.0,0.88
n=10,c1_ethereum_n10_s0,ethereum,18,0.9473684210526315,0.52,0.0,25.0,1.0
n=10,c1_ethereum_n10_s0,ethereum,19,1.0,0.52,0.0,25.0,1.0
n=20,c1_ethereum_n20_s0,ethereum,0,0.0,0.575,0.0,0.0,0.0
n=20,c1_ethereum_n20_s0,ethereum,0,0.0,0.575,0.0,4.0,0.08695652173913043
n=20,c1_ethereum_n20_s0,ethereum,1,0.05263157894736842,0.5800000000000001,0.0,4.0,0.08695652173913043
n=20,c1_ethereum_n20_s0,ethereum,2,0.10526315789473684,0.5700000000000001,0.0,9.0,0.1956521739130435
n=20,c1_ethereum_n20_s0,ethereum,3,0.15789473684210525,0.575,0.0,10.0,0.21739130434782608
n=20,c1_ethereum_n20_s0,ethereum,4,0.21052631578947367,0.56,0.0,11.0,0.2391304347826087
n=20,c1_ethereum_n20_s0,ethereum,5,0.2631578947368421,0.545,0.0,14.0,0.30434782608695654
n=20,c1_ethereum_n20_s0,ethereum,6,0.3157894736842105,0.54,0.0,18.0,0.391304347826087
n=20,c1_ethereum_n20_s0,ethereum,7,0.3684210526315789,0.535,0.0,21.0,0.45652173913043476
n=20,c1_ethereum_n20_s0,ethereum,8,0.42105263157894735,0.525,0.0,26.0,0.5652173913043478
n=20,c1_ethereum_n20_s0,ethereum,9,0.47368421052631576,0.5,0.0,30.0,0.6521739130434783
n=20,c1_ethereum_n20_s0,ethereum,10,0.5263157894736842,0.48,0.0,36.0,0.782608695652174
n=20,c1_ethereum_n20_s0,ethereum,11,0.5789473684210527,0.48,0.0,38.0,0.8260869565217391
n=20,c1_ethereum_n20_s0,ethereum,12,0.631578947368421,0.48,0.0,40.0,0.8695652173913043
n=20,c1_ethereum_n20_s0,ethereum,13,0.6842105263157895,0.48,0.0,40.0,0.8695652173913043
n=20,c1_ethereum_n20_s0,ethereum,14,0.7368421052631579,0.395,0.0,41.0,0.8913043478260869
n=20,c1_ethereum_n20_s0,ethereum,15,0.7894736842105263,0.35000000000000003,0.0,42.0,0.9130434782608695
n=20,c1_ethereum_n20_s0,ethereum,16,0.8421052631578947,0.35000000000000003,0.0,42.0,0.9130434782608695
n=20,c1_ethereum_n20_s0,ethereum,17,0.8947368421052632,0.35000000000000003,0.0,44.0,0.9565217391304348
n=20,c1_ethereum_n20_s0,ethereum,18,0.9473684210526315,0.35000000000000003,0.0,46.0,1.0
n=20,c1_ethereum_n20_s0,ethereum,19,1.0,0.35000000000000003,0.0,46.0,1.0
n=50,c1_ethereum_n50_s0,ethereum,0,0.0,0.61,0.0,0.0,0.0
n=50,c1_ethereum_n50_s0,ethereum,0,0.0,0.61,0.0,7.0,0.03664921465968586
n=50,c1_ethereum_n50_s0,ethereum,1,0.05263157894736842,0.575,0.0,13.0,0.06806282722513089
n=50,c1_ethereum_n50_s0,ethereum,2,0.10526315789473684,0.56,0.0,14.0,0.07329842931937172
n=50,c1_ethereum_n50_s0,ethereum,3,0.15789473684210525,0.585,0.0,25.0,0.13089005235602094
n=50,c1_ethereum_n50_s0,ethereum,4,0.21052631578947367,0.585,0.0,30.0,0.15706806282722513
n=50,c1_ethereum_n50_s0,ethereum,5,0.2631578947368421,0.585,0.0,46.0,0.24083769633507854
n=50,c1_ethereum_n50_s0,ethereum,6,0.3157894736842105,0.585,0.0,48.0,0.2513089005235602
n=50,c1_ethereum_n50_s0,ethereum,7,0.3684210526315789,0.585,0.0,55.0,0.2879581151832461
n=50,c1_ethereum_n50_s0,ethereum,8,0.42105263157894735,0.585,0.0,62.0,0.32460732984293195
n=50,c1_ethereum_n50_s0,ethereum,9,0.47368421052631576,0.5700000000000001,0.0,74.0,0.387434554973822
