config,slug,market_key,n_agents,n_ticks,truth,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,notional,fills_per_agent_tick,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
c4_ethereum_concentrated_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.585,0.565,-0.020000000000000018,0.020000000000000018,0.565,0.01061693450321769,0.030000000000000027,83,817.4603407021584,0.2075,40.87301703510792,0.38425925925925924,1.3855421686746987,0.024466018721863613,2.977324302471795,50.588144760691954,182.05241666666663
c4_ethereum_natural_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.5800000000000001,0.35000000000000003,-0.23000000000000004,0.23000000000000004,0.35000000000000003,0.025512294937587554,0.09999999999999998,44,960.3967135951431,0.11,48.01983567975715,0.2222222222222222,2.9318181818181817,0.23948436801602482,-9.620090984745683,575.9130213876468,2547.716282051282
c4_ethereum_uniform_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.585,0.55,-0.03499999999999992,0.03499999999999992,0.55,0.014357588616379601,0.03500000000000003,41,863.388469091086,0.1025,43.1694234545543,0.19523809523809524,3.1219512195121952,0.04053795163241574,-9.79372500000016,1154.521571050388,5194.7075
c6_ethereum_belief_off_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.565,0.575,0.010000000000000009,-0.010000000000000009,0.575,0.00229415733870562,0.010000000000000009,1,44.827000000000005,0.0025,2.24135,0.034482758620689655,8.0,0.22307984027483455,-2.241349999999966,10.132574334941985,45.31425
c6_ethereum_belief_on_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.575,0.535,-0.039999999999999925,0.039999999999999925,0.535,0.012617865362880874,0.029999999999999916,76,1261.268478993462,0.19,63.063423949673094,0.34545454545454546,1.355263157894737,0.031714104226184564,-5.164849999999988,95.56169146403904,356.1834975369458
c4_robotaxi_concentrated_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,20,20,1.0,YES 结局=1.00,0.41870038980723967,0.48,0.39,-0.08999999999999997,-0.08999999999999997,0.61,0.03280725208659943,0.07999999999999996,33,501.10299731634706,0.0825,25.055149865817352,0.1493212669683258,3.6666666666666665,0.17960379499223555,9.223684039999991,39.62492263362941,122.11290322580645
c4_robotaxi_natural_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,20,20,1.0,YES 结局=1.00,0.41870038980723967,0.49,0.39,-0.09999999999999998,-0.09999999999999998,0.61,0.012301048307916049,0.03500000000000003,39,588.5360614879895,0.0975,29.426803074399476,0.17647058823529413,3.128205128205128,0.16991312265075317,4.78120657265369,44.254373118515076,132.37894599
c4_robotaxi_uniform_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,20,20,1.0,YES 结局=1.00,0.41870038980723967,0.5,0.355,-0.14500000000000002,-0.14500000000000002,0.645,0.01939132259060392,0.065,56,759.9825472208174,0.14,37.99912736104087,0.24561403508771928,1.9107142857142858,0.19079385510924032,7.400176531022891,60.593175047827145,264.9112952745417
c6_robotaxi_belief_off_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,20,20,1.0,YES 结局=1.00,0.41870038980723967,0.46499999999999997,0.5,0.03500000000000003,0.03500000000000003,0.5,0.004775669329409197,0.015000000000000013,6,197.1052606,0.015,9.85526303,0.06,2.8333333333333335,0.17757009576232502,4.486842020000006,23.542995268503866,96.22806841333332
c6_robotaxi_belief_on_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,20,20,1.0,YES 结局=1.00,0.41870038980723967,0.5,0.36,-0.14,-0.14,0.64,0.01627612609627225,0.04999999999999999,66,1642.2791378273298,0.165,82.11395689136648,0.30697674418604654,1.621212121212121,0.08524738381881564,9.22368404000002,190.58977696112524,673.5476203336808
