tick,active_actions,cancel_actions,fills,cum_trades,cum_active_actions,cum_cancel_actions,execution_rate,cancel_per_trade,series,config,market,market_title,experiment
0,9.0,0.0,2.0,2.0,9.0,0.0,0.2222222222222222,0.0,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
1,3.0,5.0,1.0,3.0,12.0,5.0,0.25,1.6666666666666667,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
2,4.0,3.0,1.0,4.0,16.0,8.0,0.25,2.0,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
4,6.0,2.0,0.0,6.0,25.0,14.0,0.24,2.3333333333333335,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
5,3.0,4.0,1.0,7.0,28.0,18.0,0.25,2.5714285714285716,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
8,4.0,3.0,0.0,11.0,42.0,27.0,0.2619047619047619,2.4545454545454546,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
9,4.0,6.0,1.0,12.0,46.0,33.0,0.2608695652173913,2.75,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
10,4.0,2.0,1.0,13.0,50.0,35.0,0.26,2.6923076923076925,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
14,1.0,4.0,0.0,15.0,67.0,48.0,0.22388059701492538,3.2,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
15,3.0,4.0,2.0,17.0,70.0,52.0,0.24285714285714285,3.0588235294117645,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
16,8.0,1.0,3.0,20.0,78.0,53.0,0.2564102564102564,2.65,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
17,5.0,4.0,2.0,22.0,83.0,57.0,0.26506024096385544,2.590909090909091,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
19,6.0,0.0,0.0,25.0,94.0,58.0,0.26595744680851063,2.32,n=10,c1_ethereum_n10_s0,ethereum,以太坊 5000 美元,scale
1,9.0,5.0,0.0,4.0,28.0,5.0,0.14285714285714285,1.25,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
2,9.0,9.0,5.0,9.0,37.0,14.0,0.24324324324324326,1.5555555555555556,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
3,14.0,2.0,1.0,10.0,51.0,16.0,0.19607843137254902,1.6,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
4,9.0,9.0,1.0,11.0,60.0,25.0,0.18333333333333332,2.272727272727273,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
5,9.0,1.0,3.0,14.0,69.0,26.0,0.2028985507246377,1.8571428571428572,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
6,11.0,8.0,4.0,18.0,80.0,34.0,0.225,1.8888888888888888,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
7,9.0,8.0,3.0,21.0,89.0,42.0,0.23595505617977527,2.0,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
8,11.0,6.0,5.0,26.0,100.0,48.0,0.26,1.8461538461538463,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
9,11.0,4.0,4.0,30.0,111.0,52.0,0.2702702702702703,1.7333333333333334,n=20,c1_ethereum_n20_s0,ethereum,以太坊 5000 美元,scale
