config,slug,market_key,n_agents,n_ticks,truth,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,notional,fills_per_agent_tick,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
c1_ethereum_n100_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,100,20,0.0,NO 结局，YES=0.00,0.5795,0.595,0.42,-0.175,0.175,0.42,0.02996586752247079,0.13000000000000006,453,15167.647466859775,0.2265,151.67647466859773,0.41294439380127623,1.0485651214128036,0.011537715415812668,-1.6390728688524496,409.8068253230061,2241.175488400488
c1_ethereum_n10_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,10,20,0.0,NO 结局，YES=0.00,0.5795,0.575,0.52,-0.05499999999999994,0.05499999999999994,0.52,0.012617865362880905,0.03500000000000003,25,355.6717945512573,0.125,35.567179455125725,0.26595744680851063,2.32,0.15463694575329523,-26.091069491525424,33.19229094693035,113.86435268662098
c1_ethereum_n20_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.575,0.35000000000000003,-0.22499999999999992,0.22499999999999992,0.35000000000000003,0.021551651542527455,0.08499999999999996,46,1230.7565701148842,0.115,61.53782850574421,0.22009569377990432,2.608695652173913,0.18281438057161656,-7.893449999999989,168.70146939658875,739.8886502063642
c1_ethereum_n50_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,50,20,0.0,NO 结局，YES=0.00,0.5795,0.61,0.24,-0.37,0.37,0.24,0.06415897652710685,0.28,191,5418.590350076845,0.191,108.37180700153691,0.3472727272727273,1.3664921465968587,0.06828344202007312,-1.5786900000001223,193.94759086296764,836.1770014431773
c3_ethereum_t100_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,100,0.0,NO 结局，YES=0.00,0.5795,0.5800000000000001,0.23,-0.3500000000000001,0.3500000000000001,0.23,0.15201747436687643,0.58,312,4578.314655289052,0.156,228.9157327644526,0.31293881644934807,1.858974358974359,0.07644734500623851,-3.8984513247160324,76.98119746028625,324.81884483007053
c3_ethereum_t10_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,10,0.0,NO 结局，YES=0.00,0.5795,0.5800000000000001,0.525,-0.05500000000000005,0.05500000000000005,0.525,0.013869430814244313,0.029999999999999916,28,490.51450000000006,0.14,24.525725,0.23728813559322035,2.0714285714285716,0.1121271644365254,-9.237258333333333,25.826635871959517,83.16403821078606
c3_ethereum_t20_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,20,0.0,NO 结局，YES=0.00,0.5795,0.575,0.545,-0.029999999999999916,0.029999999999999916,0.545,0.013545461681454153,0.030000000000000027,57,1243.4686663057414,0.1425,62.17343331528707,0.2727272727272727,1.8771929824561404,0.024126060280334864,-2.2882250000000086,106.33913990184814,336.4834618644068
c3_ethereum_t50_s0,will-ethereum-reach-5000-in-august-614-348-169-974-494,ethereum,20,50,0.0,NO 结局，YES=0.00,0.5795,0.585,0.07,-0.5149999999999999,0.5149999999999999,0.07,0.09614033199117916,0.425,149,2650.762677491092,0.149,132.5381338745546,0.29504950495049503,1.9597315436241611,0.19428370724135888,-7.761735024154527,111.75359713319943,474.60384293706613
c1_robotaxi_n100_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,100,20,1.0,YES 结局=1.00,0.41870038980723967,0.495,0.245,-0.25,-0.25,0.755,0.08129525280516059,0.3,353,10144.325907856688,0.1765,101.44325907856688,0.3064236111111111,1.4872521246458923,0.024644318633964362,1.6447368079999918,330.9952561314446,2174.6406800200252
c1_robotaxi_n10_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,10,20,1.0,YES 结局=1.00,0.41870038980723967,0.485,0.425,-0.06,-0.06,0.575,0.021807906715722122,0.04999999999999999,24,608.7060779788851,0.12,60.87060779788851,0.19672131147540983,2.5,0.0985697402582553,2.2746525052041036,68.91952868007267,201.5625
c1_robotaxi_n20_s0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,robotaxi,20,20,1.0,YES 结局=1.00,0.41870038980723967,0.475,0.39,-0.08499999999999996,-0.08499999999999996,0.61,0.015446568914424651,0.02999999999999997,47,890.2458291017768,0.1175,44.51229145508884,0.20982142857142858,2.3404255319148937,0.09547924541894415,9.473684039999963,255.34920852999863,1093.8648431419633
