config,market_key,n_agents,n_ticks,truth_label,signal_mu,start_mid,end_mid,drift,direction_score,distance_to_truth,volatility,max_abs_step,n_fills,fills_per_agent_tick,notional,notional_per_agent,active_trade_fill_rate,cancel_per_fill,price_response_per_1k_notional,pnl_mean,pnl_std,pnl_spread
rq1_m01_s0,robotaxi,20,20,YES 结局=1.00,0.635,0.68,0.6,-0.08,-0.08,0.4,0.041,0.165,51,0.1275,288.781,14.4391,0.2161,1.902,0.277,0.4766,23.1423,88.5473
rq1_m02_s0,other,20,20,YES 结局=1.00,0.21,0.5,0.22,-0.28,-0.28,0.78,0.0548,0.24,55,0.1375,975.8891,48.7945,0.2477,2.0182,0.2869,5.679,100.1075,342.6077
rq1_m03_s0,other,20,20,NO 结局，YES=0.00,0.2729,0.275,0.395,0.12,-0.12,0.395,0.0086,0.025,54,0.135,503.6748,25.1837,0.25,1.9815,0.2382,0.5175,209.2277,950.4214
rq1_m04_s0,other,20,20,NO 结局，YES=0.00,0.2939,0.34,0.3,-0.04,0.04,0.3,0.0401,0.16,71,0.1775,313.9625,15.6981,0.3213,1.2958,0.1274,-0.7012,38.7571,166.2089
rq1_m05_s0,other,20,20,NO 结局，YES=0.00,0.235,0.265,0.19,-0.075,0.075,0.19,0.0151,0.035,52,0.13,471.9176,23.5959,0.2549,2.4038,0.1589,-10.175,43.6134,149.5369
rq1_m06_s0,other,20,20,YES 结局=1.00,0.57,0.565,0.52,-0.045,-0.045,0.48,0.0179,0.045,58,0.145,919.7418,45.9871,0.2749,2.0862,0.0489,-0.2672,1179.5056,5330.0713
rq1_m07_s0,other,20,20,NO 结局，YES=0.00,0.8057,0.86,0.76,-0.1,0.1,0.76,0.0115,0.03,47,0.1175,494.4528,24.7226,0.2156,2.3404,0.2022,-0.3924,208.3614,816.0
rq1_m08_s0,other,20,20,YES 结局=1.00,0.715,0.75,0.87,0.12,0.12,0.13,0.0085,0.03,68,0.17,630.854,31.5427,0.3049,1.3382,0.1902,-0.7998,72.9528,256.9598
rq1_m09_s0,other,20,20,NO 结局，YES=0.00,0.51,0.54,0.515,-0.025,0.025,0.515,0.0091,0.02,67,0.1675,692.4845,34.6242,0.2965,1.5075,0.0361,-0.2416,59.7162,221.987
rq1_m10_s0,other,20,20,NO 结局，YES=0.00,0.24,0.24,0.21,-0.03,0.03,0.21,0.0099,0.025,61,0.1525,665.3955,33.2698,0.2748,1.7705,0.0451,-6.2755,51.6243,180.9198
