实验套件,配置,行为模式,agent数量,归一化收益中位数,占比
c1_ethereum,c1_ethereum_n100_s0,信号反向型,39,0.46065245032202257,0.39
c1_ethereum,c1_ethereum_n100_s0,信念锚定型,20,0.3297862515281009,0.2
c1_ethereum,c1_ethereum_n100_s0,激进套利型,21,0.9906033573261169,0.21
c1_ethereum,c1_ethereum_n100_s0,频繁挂撤型,20,0.20506872060849943,0.2
c1_ethereum,c1_ethereum_n10_s0,信号反向型,2,0.2076319885873165,0.2
c1_ethereum,c1_ethereum_n10_s0,激进套利型,2,0.926475430985516,0.2
c1_ethereum,c1_ethereum_n10_s0,频繁挂撤型,6,0.19363164480779033,0.6
c1_ethereum,c1_ethereum_n20_s0,信号反向型,2,0.33,0.1
c1_ethereum,c1_ethereum_n20_s0,信念锚定型,2,0.33700375413296146,0.1
c1_ethereum,c1_ethereum_n20_s0,激进套利型,2,0.641174504082147,0.1
c1_ethereum,c1_ethereum_n20_s0,频繁挂撤型,14,0.14824628166023707,0.7
c1_ethereum,c1_ethereum_n50_s0,信号反向型,20,0.17397885720738787,0.4
c1_ethereum,c1_ethereum_n50_s0,信念锚定型,4,0.017691012077929818,0.08
c1_ethereum,c1_ethereum_n50_s0,激进套利型,4,0.7268244328129289,0.08
c1_ethereum,c1_ethereum_n50_s0,频繁挂撤型,22,0.2557648250676458,0.44
c1_robotaxi,c1_robotaxi_n100_s0,信号反向型,29,0.2206347825411862,0.29
c1_robotaxi,c1_robotaxi_n100_s0,信念锚定型,17,0.22741446828492065,0.17
c1_robotaxi,c1_robotaxi_n100_s0,激进套利型,15,0.8356299030670604,0.15
c1_robotaxi,c1_robotaxi_n100_s0,频繁挂撤型,39,0.12955417990522602,0.39
c1_robotaxi,c1_robotaxi_n10_s0,信号反向型,2,0.3319886654995744,0.2
c1_robotaxi,c1_robotaxi_n10_s0,信念锚定型,2,0.20306599406424386,0.2
c1_robotaxi,c1_robotaxi_n10_s0,激进套利型,3,0.9659090909090908,0.3
c1_robotaxi,c1_robotaxi_n10_s0,频繁挂撤型,3,0.11795062184965897,0.3
c1_robotaxi,c1_robotaxi_n20_s0,信号反向型,1,0.41333367777806485,0.05
c1_robotaxi,c1_robotaxi_n20_s0,信念锚定型,6,0.25569608222247486,0.3
c1_robotaxi,c1_robotaxi_n20_s0,激进套利型,4,0.6639207065853597,0.2
c1_robotaxi,c1_robotaxi_n20_s0,频繁挂撤型,9,0.17434282748288404,0.45
c1_robotaxi,c1_robotaxi_n50_s0,信号反向型,20,0.22427175736849986,0.4
c1_robotaxi,c1_robotaxi_n50_s0,信念锚定型,14,0.18185343752169736,0.28
c1_robotaxi,c1_robotaxi_n50_s0,激进套利型,4,0.8421851886809366,0.08
c1_robotaxi,c1_robotaxi_n50_s0,频繁挂撤型,12,0.017521924494170126,0.24
c3_ethereum,c3_ethereum_t100_s0,信号反向型,8,0.12250315458876822,0.4
c3_ethereum,c3_ethereum_t100_s0,信念锚定型,6,0.19578427007438504,0.3
c3_ethereum,c3_ethereum_t100_s0,激进套利型,1,0.9948282921292981,0.05
c3_ethereum,c3_ethereum_t100_s0,频繁挂撤型,5,0.06322351272631062,0.25
c3_ethereum,c3_ethereum_t10_s0,信号反向型,1,0.3801792825020327,0.05
c3_ethereum,c3_ethereum_t10_s0,信念锚定型,4,0.014565847835560653,0.2
c3_ethereum,c3_ethereum_t10_s0,激进套利型,2,0.7727589858442223,0.1
