bin,ts,yes_price,volume,real_cum_trades,frac,slug,cum_trades,trade_progress,config,market_title,truth
0,2025-09-10 04:27:24+00:00,0.4226710167586065,26.749998999999995,2,0.0,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,0.0,0.0,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
1,2025-09-10 07:10:51+00:00,0.64,3.2,3,0.012658227848101266,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,0.8860759493670886,0.012658227848101266,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
2,2025-09-11 12:40:07+00:00,0.303190646806809,105.671428,5,0.02531645569620253,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,1.7721518987341771,0.02531645569620253,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
3,2025-09-11 12:40:11+00:00,0.290000001988,40.84507,6,0.0379746835443038,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,2.6582278481012658,0.0379746835443038,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
4,2025-09-11 12:49:01+00:00,0.305,9.0,8,0.05063291139240506,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,3.5443037974683542,0.05063291139240506,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
5,2025-09-11 14:56:17+00:00,0.3,15.299999999999999,9,0.06329113924050633,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,4.4303797468354436,0.06329113924050633,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
6,2025-09-11 14:58:23+00:00,0.3,12.0,10,0.0759493670886076,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,5.3164556962025316,0.0759493670886076,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
7,2025-09-11 15:05:53+00:00,0.3,32.699999999999996,12,0.08860759493670886,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,6.2025316455696204,0.08860759493670886,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
8,2025-09-11 16:46:01+00:00,0.3,19.5,13,0.10126582278481013,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,7.0886075949367084,0.10126582278481013,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
9,2025-09-11 17:54:53+00:00,0.3,31.5,15,0.11392405063291139,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,7.974683544303797,0.11392405063291139,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
10,2025-09-11 18:03:09+00:00,0.3,27.0,16,0.12658227848101267,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,8.860759493670887,0.12658227848101267,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
11,2025-09-11 18:28:21+00:00,0.3,20.4,17,0.13924050632911392,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,9.746835443037973,0.13924050632911392,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
